k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;variance;3;6;0;0.750000;10;0.796544
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
assists,denies,xp_per_min,hero_damage,hero_healing;-1,058026;0;5;2
kills,deaths,denies,gold_per_min;-1,058423;0;4;2
kills,deaths,denies,last_hits;-1,058609;0;4;2
deaths,denies,gold_per_min,hero_damage;-1,058782;0;4;2
kills,assists,denies,gold_per_min;-1,058878;0;4;2
kills,denies,xp_per_min;-1,058893;0;3;2
deaths,denies,hero_damage,last_hits;-1,058969;0;4;2
kills,assists,denies,last_hits;-1,059064;0;4;2
assists,denies,gold_per_min,hero_damage;-1,059237;0;4;2
denies,xp_per_min,hero_damage;-1,059372;0;3;2
kills,deaths,assists,denies,xp_per_min,hero_healing;-1,059395;0;6;2
assists,denies,hero_damage,last_hits;-1,059424;0;4;2
deaths,assists,denies,xp_per_min,hero_damage,hero_healing;-1,059635;0;6;2
kills,deaths,assists,denies,gold_per_min;-1,060639;0;5;2
kills,deaths,assists,denies,last_hits;-1,060788;0;5;2
deaths,assists,denies,gold_per_min,hero_damage;-1,060926;0;5;2
deaths,assists,denies,hero_damage,last_hits;-1,061076;0;5;2
kills,deaths,denies,xp_per_min;-1,061090;0;4;2
deaths,denies,xp_per_min,hero_damage;-1,061450;0;4;2
kills,assists,denies,xp_per_min;-1,061545;0;4;2
assists,denies,xp_per_min,hero_damage;-1,061905;0;4;2
kills,deaths,assists,denies,xp_per_min;-1,062773;0;5;2
deaths,assists,denies,xp_per_min,hero_damage;-1,063060;0;5;2
denies,gold_per_min,hero_healing,last_hits;-1,339583;0;4;3
kills,gold_per_min,hero_healing,last_hits;-1,341896;0;4;3
denies,gold_per_min,xp_per_min,hero_healing;-1,342064;0;4;3
denies,xp_per_min,hero_healing,last_hits;-1,342250;0;4;3
gold_per_min,hero_damage,hero_healing,last_hits;-1,342256;0;4;3
kills,gold_per_min,hero_damage,hero_healing;-1,342484;0;4;3
kills,hero_damage,hero_healing,last_hits;-1,342671;0;4;3
denies,gold_per_min,last_hits;-1,342713;0;3;3
deaths,denies,gold_per_min,hero_healing,last_hits;-1,342739;0;5;3
assists,denies,gold_per_min,hero_healing,last_hits;-1,343103;0;5;3
gold_per_min,xp_per_min,hero_healing,last_hits;-1,344149;0;4;3
kills,gold_per_min,xp_per_min,hero_healing;-1,344377;0;4;3
kills,xp_per_min,hero_healing,last_hits;-1,344564;0;4;3
kills,deaths,gold_per_min,hero_healing,last_hits;-1,344590;0;5;3
