k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;euclidean;3;6;0;0.750000;10;169.469245
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
deaths,assists,gold_per_min,hero_damage,hero_healing,last_hits;-1,187866;0;6;3
deaths,assists,gold_per_min,xp_per_min,hero_healing,last_hits;-1,188112;0;6;3
kills,deaths,assists,xp_per_min,hero_healing,last_hits;-1,188798;0;6;3
kills,deaths,assists,xp_per_min,hero_damage,hero_healing;-1,195191;0;6;3
kills,deaths,assists,gold_per_min,hero_damage,hero_healing;-1,195954;0;6;3
kills,deaths,assists,hero_damage,hero_healing,last_hits;-1,197712;0;6;3
kills,deaths,assists,gold_per_min,xp_per_min,hero_healing;-1,198565;0;6;3
deaths,assists,denies,gold_per_min,xp_per_min,hero_healing;-1,200237;0;6;3
deaths,assists,denies,gold_per_min,hero_healing,last_hits;-1,204631;0;6;3
deaths,assists,denies,xp_per_min,hero_healing,last_hits;-1,207521;0;6;3
kills,denies,xp_per_min,hero_damage;-1,350115;0;4;4
kills,denies,hero_damage,last_hits;-1,354572;0;4;4
kills,denies,gold_per_min,hero_damage;-1,355851;0;4;4
kills,denies,gold_per_min,hero_damage,hero_healing;-1,363971;0;5;4
kills,denies,hero_damage,hero_healing,last_hits;-1,364713;0;5;4
kills,denies,xp_per_min,hero_damage,hero_healing;-1,370405;0;5;4
kills,assists,denies,xp_per_min,hero_damage;-1,380646;0;5;4
kills,assists,denies,hero_damage,last_hits;-1,380698;0;5;4
kills,assists,denies,gold_per_min,hero_damage;-1,382325;0;5;4
kills,deaths,denies,gold_per_min,hero_damage;-1,387924;0;5;4
kills,deaths,denies,xp_per_min,hero_damage;-1,390960;0;5;4
kills,deaths,denies,hero_damage,last_hits;-1,395759;0;5;4
kills,assists,denies,xp_per_min,hero_damage,hero_healing;-1,403961;0;6;4
kills,assists,denies,hero_damage,hero_healing,last_hits;-1,404075;0;6;4
kills,assists,denies,gold_per_min,hero_damage,hero_healing;-1,412632;0;6;4
kills,deaths,assists,denies,gold_per_min,hero_damage;-1,413760;0;6;4
kills,deaths,assists,denies,xp_per_min,hero_damage;-1,415643;0;6;4
kills,deaths,denies,hero_damage,hero_healing,last_hits;-1,415982;0;6;4
kills,deaths,denies,gold_per_min,hero_damage,hero_healing;-1,416535;0;6;4
kills,deaths,denies,xp_per_min,hero_damage,hero_healing;-1,416877;0;6;4
kills,deaths,assists,denies,hero_damage,last_hits;-1,417620;0;6;4
denies,gold_per_min,hero_damage,hero_healing,last_hits;-1,524718;0;5;5
denies,xp_per_min,hero_damage,hero_healing,last_hits;-1,534216;0;5;5
kills,denies,gold_per_min,last_hits;-1,536083;0;4;5
kills,denies,gold_per_min,hero_healing,last_hits;-1,537248;0;5;5
denies,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,538986;0;5;5
kills,denies,gold_per_min,xp_per_min;-1,540145;0;4;5
kills,denies,gold_per_min,xp_per_min,hero_healing;-1,542633;0;5;5
denies,gold_per_min,hero_damage,last_hits;-1,543693;0;4;5
denies,gold_per_min,xp_per_min,hero_damage;-1,544063;0;4;5
denies,xp_per_min,hero_damage,last_hits;-1,546180;0;4;5
kills,denies,xp_per_min,hero_healing,last_hits;-1,546429;0;5;5
kills,denies,xp_per_min,last_hits;-1,557765;0;4;5
kills,assists,denies,gold_per_min,xp_per_min;-1,560845;0;5;5
assists,denies,xp_per_min,hero_damage,last_hits;-1,561712;0;5;5
assists,denies,gold_per_min,xp_per_min,hero_damage;-1,563486;0;5;5
assists,denies,gold_per_min,hero_damage,last_hits;-1,563642;0;5;5
kills,assists,denies,xp_per_min,last_hits;-1,565886;0;5;5
kills,deaths,denies,gold_per_min,last_hits;-1,566924;0;5;5
kills,assists,denies,gold_per_min,last_hits;-1,568681;0;5;5
deaths,denies,xp_per_min,hero_damage,last_hits;-1,572118;0;5;5
kills,deaths,denies,gold_per_min,xp_per_min;-1,572549;0;5;5
deaths,denies,gold_per_min,hero_damage,last_hits;-1,579463;0;5;5
deaths,denies,gold_per_min,xp_per_min,hero_damage;-1,579918;0;5;5
assists,denies,xp_per_min,hero_damage,hero_healing,last_hits;-1,581069;0;6;5
kills,assists,denies,gold_per_min,xp_per_min,hero_healing;-1,582526;0;6;5
kills,assists,denies,gold_per_min,hero_healing,last_hits;-1,582642;0;6;5
assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,582800;0;6;5
kills,assists,denies,xp_per_min,hero_healing,last_hits;-1,583935;0;6;5
deaths,denies,gold_per_min,hero_damage,hero_healing,last_hits;-1,586495;0;6;5
assists,denies,gold_per_min,hero_damage,hero_healing,last_hits;-1,587747;0;6;5
kills,deaths,denies,xp_per_min,last_hits;-1,589762;0;5;5
deaths,assists,denies,gold_per_min,xp_per_min,hero_damage;-1,590813;0;6;5
deaths,denies,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,591852;0;6;5
kills,deaths,denies,gold_per_min,hero_healing,last_hits;-1,592121;0;6;5
deaths,assists,denies,xp_per_min,hero_damage,last_hits;-1,593027;0;6;5
deaths,assists,denies,gold_per_min,hero_damage,last_hits;-1,593230;0;6;5
kills,deaths,denies,gold_per_min,xp_per_min,hero_healing;-1,595086;0;6;5
kills,deaths,assists,denies,gold_per_min,xp_per_min;-1,597150;0;6;5
kills,deaths,assists,denies,gold_per_min,last_hits;-1,597800;0;6;5
kills,deaths,denies,xp_per_min,hero_healing,last_hits;-1,598801;0;6;5
kills,deaths,assists,denies,xp_per_min,last_hits;-1,598879;0;6;5
deaths,denies,xp_per_min,hero_damage,hero_healing,last_hits;-1,602472;0;6;5
kills,gold_per_min,xp_per_min,last_hits;-1,662732;0;4;6
denies,gold_per_min,xp_per_min,hero_healing,last_hits;-1,669556;0;5;6
gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits;-1,674198;0;5;6
