k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;cosine;3;6;0;0.750000;10;159.673632
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
kills,denies,hero_damage;-0,966231;0;3;1
deaths,assists,denies,gold_per_min,hero_damage;-0,972500;0;5;2
kills,deaths,assists,denies,gold_per_min;-0,976164;0;5;2
kills,deaths,assists,denies,last_hits;-0,977240;0;5;2
deaths,assists,denies,hero_damage,last_hits;-0,982295;0;5;2
kills,deaths,assists,denies,xp_per_min;-0,999227;0;5;2
deaths,denies,gold_per_min,hero_damage;-1,038176;0;4;2
deaths,denies,xp_per_min,hero_damage;-1,044557;0;4;2
kills,deaths,denies,gold_per_min;-1,046123;0;4;2
kills,deaths,denies,xp_per_min;-1,053109;0;4;2
kills,deaths,denies,last_hits;-1,090369;0;4;2
kills,assists,denies,last_hits;-1,093683;0;4;2
deaths,denies,hero_damage,last_hits;-1,107355;0;4;2
kills,assists,denies,xp_per_min;-1,109102;0;4;2
assists,denies,xp_per_min,hero_damage;-1,115380;0;4;2
kills,assists,denies,gold_per_min;-1,117668;0;4;2
assists,denies,gold_per_min,hero_damage;-1,121181;0;4;2
denies,xp_per_min,hero_damage,hero_healing;-1,122967;0;4;2
kills,denies,xp_per_min,hero_healing;-1,127656;0;4;2
deaths,assists,gold_per_min,xp_per_min,hero_healing,last_hits;-1,131054;0;6;3
assists,denies,hero_damage,last_hits;-1,134160;0;4;2
deaths,gold_per_min,xp_per_min,hero_healing,last_hits;-1,136356;0;5;3
kills,deaths,assists,gold_per_min,hero_healing,last_hits;-1,136891;0;6;3
deaths,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,138373;0;5;3
deaths,assists,denies,gold_per_min,hero_healing,last_hits;-1,146028;0;6;3
deaths,denies,gold_per_min,xp_per_min,hero_healing;-1,148504;0;5;3
deaths,assists,gold_per_min,hero_damage,hero_healing,last_hits;-1,154368;0;6;3
kills,deaths,gold_per_min,hero_healing,last_hits;-1,159534;0;5;3
denies,gold_per_min,hero_damage,hero_healing;-1,160262;0;4;2
denies,hero_damage,hero_healing,last_hits;-1,160435;0;4;2
kills,denies,hero_healing,last_hits;-1,160851;0;4;2
assists,denies,gold_per_min,hero_healing,last_hits;-1,160880;0;5;3
deaths,assists,denies,gold_per_min,xp_per_min,hero_healing;-1,163779;0;6;3
kills,deaths,gold_per_min,xp_per_min,hero_healing;-1,165630;0;5;3
deaths,denies,gold_per_min,hero_healing,last_hits;-1,165671;0;5;3
deaths,assists,denies,xp_per_min,hero_healing,last_hits;-1,168352;0;6;3
deaths,denies,xp_per_min,hero_healing,last_hits;-1,171216;0;5;3
deaths,assists,xp_per_min,hero_damage,hero_healing,last_hits;-1,171571;0;6;3
assists,denies,xp_per_min,hero_healing,last_hits;-1,172547;0;5;3
deaths,xp_per_min,hero_damage,hero_healing,last_hits;-1,172862;0;5;3
deaths,gold_per_min,hero_damage,hero_healing,last_hits;-1,175425;0;5;3
kills,denies,gold_per_min,hero_healing;-1,183765;0;4;2
assists,denies,gold_per_min,xp_per_min,hero_healing;-1,185006;0;5;3
