,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min
349310876,2.765765765765766,7.18018018018018,12.891891891891891,2.4144144144144146,271.27927927927925,344.1711711711712,10149.72972972973,756.2612612612612,41.288288288288285,11.0,861.0,652.0,743.0,66.42211224,61688.0,29.0,606.0,29.0,3634.0,0.0,9.0,7.0,147.0,121.0,28.0,61.0,993885.0,7944.0,0.0,3604.4114307000013,80.0,577.0,272.0,37.651920369998,987.0,28895.0
349449769,1.8333333333333333,6.666666666666667,9.5,1.1666666666666667,218.16666666666666,246.83333333333334,7891.0,886.3333333333334,19.333333333333332,0.0,71.0,22.0,74.0,3.4960521,1522.0,1.0,17.0,1.0,84.0,0.0,1.0,0.0,4.0,9.0,3.0,12.0,38915.0,332.0,0.0,41.955614,1.0,44.0,39.0,1.9786848984516388,40.0,1155.0
349495318,10.566666666666666,3.533333333333333,9.8,15.3,605.4,591.1666666666666,25505.366666666665,306.06666666666666,269.9,3.0,18.0,210.0,1.0,19.943656630000003,104403.0,55.0,2512.0,55.0,5627.0,7.0,0.0,3.0,17.0,27.0,294.0,22.0,559150.0,3044.0,7.0,922.0461246999998,14.0,18.0,1.0,23.009451035592196,208.0,13396.0
349683424,7.7272727272727275,5.454545454545454,6.909090909090909,15.272727272727273,527.1818181818181,536.6363636363636,17496.909090909092,0.0,196.63636363636363,1.0,0.0,70.0,0.0,6.59922089,31917.0,15.0,612.0,15.0,1564.0,1.0,4.0,0.0,7.0,2.0,99.0,4.0,158280.0,520.0,1.0,242.09556499999997,5.0,0.0,0.0,8.587773979489242,103.0,2253.0
349719643,3.7142857142857144,7.428571428571429,11.285714285714286,1.8571428571428572,290.85714285714283,368.85714285714283,8680.714285714286,0.0,67.71428571428571,1.0,91.0,36.0,53.0,4.6716709000000005,11201.0,5.0,75.0,5.0,358.0,0.0,1.0,0.0,5.0,3.0,9.0,9.0,57635.0,753.0,0.0,212.119281,3.0,54.0,27.0,2.732957973054494,71.0,941.0
350185582,7.416666666666667,3.9166666666666665,11.583333333333334,13.833333333333334,531.3333333333334,608.1666666666666,25698.833333333332,983.1666666666666,276.75,0.0,0.0,26.0,2.0,7.078582639999999,29612.0,12.0,726.0,12.0,2477.0,1.0,0.0,0.0,8.0,6.0,113.0,10.0,211460.0,189.0,1.0,175.81887250000003,4.0,0.0,2.0,8.617735773175145,84.0,1910.0
350905016,5.222222222222222,2.6666666666666665,13.88888888888889,7.444444444444445,491.8888888888889,504.3333333333333,15141.444444444445,1781.888888888889,147.77777777777777,1.0,1.0,24.0,0.0,5.96782054,37813.0,19.0,191.0,19.0,1106.0,1.0,0.0,2.0,2.0,3.0,11.0,2.0,106905.0,140.0,1.0,398.351363,0.0,1.0,0.0,5.946310074401769,41.0,2256.0
351052407,5.888888888888889,3.3333333333333335,9.666666666666666,12.0,480.3333333333333,497.3333333333333,13921.0,0.0,164.44444444444446,3.0,6.0,67.0,1.0,6.044259970000001,16903.0,4.0,345.0,4.0,1166.0,2.0,7.0,0.0,1.0,1.0,73.0,11.0,111770.0,189.0,2.0,146.890411,3.0,4.0,1.0,6.019103157048059,55.0,1778.0
351123581,7.222222222222222,3.4444444444444446,10.222222222222221,19.22222222222222,529.0,590.2222222222222,19797.555555555555,99.55555555555556,236.33333333333334,1.0,11.0,79.0,4.0,4.067767229999999,21806.0,12.0,466.0,12.0,1742.0,0.0,0.0,0.0,3.0,1.0,102.0,2.0,158595.0,351.0,0.0,326.9172757,4.0,11.0,4.0,6.541524230846572,74.0,2280.0
351519392,8.875,3.75,6.625,15.75,549.75,492.5,13540.5,44.75,153.375,0.0,0.0,1.0,0.0,0.6666667,2118.0,2.0,18.0,2.0,146.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9940.0,10.0,0.0,28.592983,0.0,0.0,0.0,0.8465714860245325,3.0,209.0
351907800,7.0,4.428571428571429,14.285714285714286,15.0,438.42857142857144,476.2857142857143,18537.14285714286,4190.142857142857,176.42857142857142,1.0,1.0,49.0,0.0,4.72463119,23973.0,9.0,249.0,9.0,1020.0,3.0,0.0,0.0,2.0,3.0,21.0,6.0,100660.0,367.0,3.0,71.440185,3.0,0.0,0.0,4.507540719887392,33.0,2293.0
352623024,5.235294117647059,5.0,10.735294117647058,9.205882352941176,391.0882352941176,473.4117647058824,14644.735294117647,188.7058823529412,145.05882352941177,3.0,9.0,176.0,0.0,21.885550320000004,38080.0,31.0,1104.0,28.0,3847.0,7.0,4.0,1.0,10.0,6.0,74.0,13.0,377460.0,1324.0,7.0,988.5137365999999,16.0,9.0,0.0,18.658154031771566,242.0,7456.0
352997012,6.6,9.2,12.8,10.4,397.2,535.4,25742.6,350.8,161.2,1.0,9.0,25.0,5.0,2.7404604299999997,18310.0,6.0,268.0,6.0,538.0,2.0,5.0,0.0,3.0,1.0,26.0,0.0,77600.0,950.0,2.0,174.4119126,4.0,7.0,1.0,2.3718077619143374,65.0,941.0
353479702,3.3846153846153846,6.846153846153846,12.0,2.6153846153846154,253.46153846153845,318.6923076923077,7946.2307692307695,1155.7692307692307,27.307692307692307,2.0,181.0,35.0,221.0,7.86758533,509.0,0.0,63.0,0.0,236.0,0.0,0.0,1.0,41.0,30.0,13.0,14.0,107440.0,435.0,0.0,304.63222800000005,7.0,126.0,88.0,4.788658757289363,100.0,1948.0
353710617,8.0,6.75,10.333333333333334,17.666666666666668,483.0,529.9166666666666,21236.083333333332,48.416666666666664,262.5,2.0,17.0,77.0,22.0,6.46576728,28484.0,16.0,675.0,16.0,2459.0,4.0,1.0,1.0,11.0,4.0,157.0,11.0,187165.0,154.0,4.0,119.53724870000002,10.0,12.0,5.0,8.939070983309874,110.0,1525.0
353845773,1.8,5.4,13.2,1.4,256.6,325.0,7763.4,898.4,14.4,0.0,21.0,13.0,15.0,2.4580628,2334.0,1.0,17.0,1.0,52.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0,30550.0,74.0,1.0,159.840915,0.0,18.0,4.0,1.5521817816207522,26.0,887.0
353909087,0.6666666666666666,9.0,9.0,1.8333333333333333,213.66666666666666,259.1666666666667,7589.5,196.5,24.5,0.0,52.0,9.0,86.0,3.44167587,194.0,0.0,27.0,0.0,94.0,0.0,0.0,0.0,14.0,15.0,1.0,3.0,37230.0,392.0,0.0,195.851345,3.0,30.0,22.0,1.752865473557209,49.0,1799.0
354185791,4.933333333333334,6.533333333333333,12.066666666666666,14.866666666666667,409.6,474.2,16388.533333333333,38.53333333333333,132.8,1.0,11.0,44.0,3.0,9.08852295,19718.0,12.0,198.0,12.0,1872.0,0.0,0.0,0.0,12.0,10.0,2.0,4.0,185970.0,418.0,0.0,669.9245074,7.0,11.0,3.0,9.137341644882365,139.0,5063.0
354250581,8.285714285714286,4.0,14.571428571428571,12.142857142857142,417.2857142857143,490.2857142857143,18278.714285714286,651.1428571428571,98.14285714285714,0.0,14.0,41.0,11.0,4.40405993,25006.0,8.0,168.0,8.0,552.0,1.0,0.0,1.0,6.0,2.0,35.0,3.0,74235.0,80.0,1.0,176.4930747,1.0,7.0,2.0,3.9623969434948725,39.0,882.0
354791077,5.166666666666667,6.0,5.833333333333333,17.666666666666668,352.5,387.3333333333333,17800.666666666668,0.0,118.5,1.0,0.0,10.0,0.0,4.29015413,5138.0,3.0,102.0,3.0,666.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,51620.0,66.0,0.0,44.5851315,3.0,0.0,0.0,3.446812789060929,36.0,2376.0
