,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits
1185644,7.444444444444445,4.344444444444444,7.9,14.677777777777777,483.56666666666666,511.5444444444444,11163.155555555555,184.87777777777777,226.33333333333334
1296625,2.9751552795031055,5.549689440993789,11.329192546583851,2.937888198757764,282.888198757764,337.0496894409938,8070.61801242236,1499.3167701863354,64.83540372670808
1654178,4.0,7.666666666666667,13.11111111111111,4.222222222222222,371.0,430.8888888888889,8220.111111111111,934.7777777777778,127.66666666666667
1887602,6.346153846153846,5.461538461538462,7.230769230769231,5.576923076923077,430.5769230769231,432.11538461538464,11171.884615384615,149.15384615384616,194.92307692307693
2109481,5.428571428571429,6.857142857142857,10.428571428571429,9.571428571428571,363.57142857142856,409.0,9083.0,148.28571428571428,136.42857142857142
2434347,5.907407407407407,7.805555555555555,13.5,2.9074074074074074,365.26851851851853,447.06481481481484,13483.657407407407,449.60185185185185,80.67592592592592
2503633,3.5555555555555554,8.666666666666666,11.0,6.444444444444445,257.22222222222223,293.1111111111111,8973.222222222223,347.22222222222223,35.888888888888886
2946314,8.851851851851851,3.8333333333333335,10.148148148148149,9.851851851851851,540.074074074074,558.9444444444445,20894.5,482.0740740740741,217.14814814814815
3117027,3.7777777777777777,7.555555555555555,13.333333333333334,13.11111111111111,274.1111111111111,275.8888888888889,11566.333333333334,300.22222222222223,36.666666666666664
3224518,7.909090909090909,7.7272727272727275,10.727272727272727,5.545454545454546,383.1818181818182,409.6363636363636,12742.636363636364,102.54545454545455,110.63636363636364
3246092,5.545454545454546,5.7272727272727275,8.818181818181818,9.0,401.45454545454544,425.22727272727275,9159.045454545454,65.77272727272727,188.86363636363637
3352452,2.2,6.0,5.4,1.0,298.6,374.4,4095.0,188.0,94.2
3505786,5.0625,7.25,14.875,9.3125,382.0,440.8125,17182.75,1178.375,147.375
3916428,3.005291005291005,6.495590828924162,12.398589065255733,2.4691358024691357,287.3809523809524,328.7566137566138,6971.650793650793,1687.668430335097,52.804232804232804
3962943,2.142857142857143,4.571428571428571,6.857142857142857,2.2857142857142856,269.14285714285717,291.14285714285717,3480.714285714286,0.0,39.714285714285715
4022514,2.5,6.0,16.833333333333332,1.8333333333333333,287.0,349.3333333333333,9152.333333333334,80.83333333333333,83.33333333333333
4182536,1.7142857142857142,8.857142857142858,10.142857142857142,2.5714285714285716,234.28571428571428,266.85714285714283,4389.571428571428,458.42857142857144,38.714285714285715
4281729,3.1609756097560977,8.095121951219513,13.570731707317073,5.514634146341463,331.9634146341463,375.54146341463417,6905.997560975609,1263.4560975609756,52.13414634146341
5150808,8.423831070889895,3.330316742081448,8.850678733031675,14.457013574660634,592.3574660633484,588.3499245852187,18209.59426847662,205.9788838612368,313.4660633484163
5178461,3.6923076923076925,6.846153846153846,14.76923076923077,6.6923076923076925,262.0,363.84615384615387,9314.23076923077,51.92307692307692,52.0
5448108,5.229946524064171,6.957219251336898,14.427807486631016,4.235294117647059,410.7914438502674,460.3529411764706,6359.92513368984,691.2941176470588,49.23529411764706
5571849,3.6319018404907975,5.809815950920245,9.521472392638037,1.7423312883435582,276.23312883435585,283.840490797546,6567.674846625767,724.4662576687117,53.190184049079754
6103402,3.2158590308370045,7.215859030837004,14.17180616740088,2.4317180616740086,345.8810572687225,401.77973568281936,6905.616740088106,1179.1409691629956,46.242290748898675
6199147,3.260869565217391,7.326086956521739,15.565217391304348,2.4782608695652173,283.32608695652175,363.2826086956522,10179.58695652174,1527.1739130434783,53.369565217391305
6245324,5.625,5.375,7.375,8.875,414.75,347.125,15471.5,81.25,206.625
6359015,5.294117647058823,7.647058823529412,8.941176470588236,13.470588235294118,446.1764705882353,471.2352941176471,20552.58823529412,0.0,254.35294117647058
6763095,4.454545454545454,9.545454545454545,15.0,4.181818181818182,329.3636363636364,411.1818181818182,4840.909090909091,1153.6363636363637,35.72727272727273
6922000,2.90694626474443,6.192660550458716,13.719528178243774,3.82175622542595,313.35255570117954,356.5229357798165,8078.070773263434,1753.3302752293578,55.93184796854521
7353870,5.111111111111111,7.0,8.444444444444445,5.555555555555555,350.77777777777777,392.3333333333333,15355.222222222223,53.333333333333336,96.77777777777777
7396553,3.3181818181818183,7.863636363636363,14.590909090909092,3.227272727272727,273.1818181818182,315.72727272727275,11872.40909090909,350.0,34.09090909090909
7910302,3.4565217391304346,7.833333333333333,13.579710144927537,3.130434782608696,390.9855072463768,414.0652173913044,4911.13768115942,1064.4927536231885,46.572463768115945
8363146,4.36,8.573333333333334,14.293333333333333,4.266666666666667,393.6933333333333,424.81333333333333,6012.453333333333,1463.3333333333333,83.98666666666666
8517055,6.2,4.4,6.4,10.5,521.2,500.6,17520.6,16.6,227.9
8591574,2.9723076923076923,7.027692307692308,12.833846153846153,3.0184615384615383,308.94153846153847,356.2,7005.043076923077,1123.6923076923076,48.20923076923077
8704322,1.2,4.4,5.8,4.6,205.2,190.4,3171.6,0.0,23.8
