,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min
306083824,2.625,8.125,9.125,1.125,209.0,245.375,8300.5,1162.375,25.375,0.0,75.0,32.0,58.0,4.45162115,3457.0,4.0,40.0,4.0,133.0,0.0,0.0,1.0,7.0,3.0,0.0,10.0,49595.0,281.0,0.0,392.419806,1.0,45.0,17.0,2.810778202292379,69.0,1322.0
306956157,3.8333333333333335,8.0,8.0,8.333333333333334,278.8333333333333,339.6666666666667,12224.833333333334,3.5,102.16666666666667,0.0,27.0,28.0,36.0,3.87985503,804.0,3.0,99.0,3.0,494.0,0.0,0.0,1.0,5.0,3.0,3.0,3.0,54725.0,117.0,0.0,176.35512799999998,3.0,14.0,12.0,2.1833903076613717,53.0,783.0
307792188,8.0,4.666666666666667,8.5,15.666666666666666,491.5,541.5,12546.833333333334,96.0,198.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308143458,8.0,6.133333333333334,7.933333333333334,10.8,550.2666666666667,535.4666666666667,22117.333333333332,261.6666666666667,294.26666666666665,1.0,4.0,81.0,0.0,9.11532676,29086.0,21.0,1451.0,21.0,2917.0,6.0,3.0,1.0,7.0,8.0,162.0,16.0,309455.0,305.0,6.0,491.41388200000006,8.0,4.0,0.0,10.840941081841946,120.0,3277.0
308208967,4.333333333333333,1.8333333333333333,17.333333333333332,2.6666666666666665,401.3333333333333,380.3333333333333,7771.5,1231.5,38.0,0.0,11.0,46.0,2.0,2.32232532,2344.0,2.0,45.0,2.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37555.0,25.0,0.0,49.790190200000005,0.0,10.0,1.0,1.9235873718077618,15.0,1389.0
308570784,3.5,7.571428571428571,10.785714285714286,3.5,349.5,374.2857142857143,10175.857142857143,273.92857142857144,138.5,1.0,3.0,21.0,11.0,1.21290324,754.0,2.0,27.0,2.0,139.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,27705.0,612.0,1.0,220.60223,4.0,4.0,10.0,0.8435551980695757,24.0,307.0
308831308,8.916666666666666,4.875,11.541666666666666,6.0,433.6666666666667,573.375,22515.791666666668,127.125,150.54166666666666,1.0,28.0,103.0,19.0,13.25294107,44276.0,23.0,815.0,23.0,2805.0,2.0,2.0,2.0,5.0,5.0,42.0,9.0,356755.0,513.0,2.0,923.8113390000001,8.0,26.0,7.0,13.935652523627589,206.0,3487.0
308893460,6.666666666666667,3.3333333333333335,13.666666666666666,14.166666666666666,483.6666666666667,520.0,19103.833333333332,471.3333333333333,150.0,0.0,3.0,37.0,0.0,3.69445465,19942.0,8.0,174.0,8.0,726.0,3.0,0.0,0.0,2.0,4.0,38.0,3.0,73545.0,70.0,3.0,142.365311,1.0,3.0,0.0,4.012668409410818,40.0,831.0
309245429,3.111111111111111,4.444444444444445,10.0,3.2222222222222223,403.22222222222223,454.22222222222223,10052.444444444445,419.55555555555554,138.88888888888889,0.0,1.0,67.0,0.0,4.98239419,22847.0,11.0,339.0,11.0,852.0,1.0,1.0,1.0,3.0,1.0,8.0,9.0,100800.0,774.0,1.0,258.455925,4.0,1.0,0.0,4.767946913331993,80.0,1110.0
310767775,3.0,5.555555555555555,10.88888888888889,1.7777777777777777,307.6666666666667,385.1111111111111,9434.0,454.0,103.77777777777777,0.0,19.0,81.0,8.0,4.41397218,5972.0,3.0,343.0,3.0,568.0,2.0,0.0,0.0,1.0,0.0,36.0,16.0,92880.0,331.0,2.0,243.623949,3.0,17.0,4.0,3.5724914538507946,75.0,3275.0
