,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,cluster
11760391,0.5266272189349112,0.35998665480427033,0.633221850613155,0.845,0.5522345765639337,0.6920180722891567,0.5826765329088511,0.04664608422183017,0.6853269330565647,8
11767812,0.5759368836291913,0.44673042704626315,0.644927536231884,0.3875,0.41459761429265396,0.39130865567533296,0.3337319928231103,0.6381117204878423,0.18990010378827193,0
11865327,0.6004442784407006,0.35842565115096764,0.3849524253973193,0.7101661129568108,0.6398500383834169,0.6789848676047081,0.7913802546076673,0.14717146725509325,0.7298280942094075,8
11929046,0.19663177059626763,0.5071174377224197,0.50547980447646,0.1033846153846154,0.20835703401688183,0.2509389785864105,0.18743405294072968,0.7865164826735741,0.14538341782763162,4
11984011,0.23668639053254437,0.40094899169632253,0.41679672984020816,0.11733333333333333,0.26917471797916553,0.28344958782498414,0.17029830009057711,0.7457288230932473,0.11624286455630514,4
12022770,0.39184746877054566,0.47805456702253835,0.25863991081382387,0.5666666666666665,0.4452960544070814,0.4791270344536038,0.23315551863488296,0.04671320088977525,0.5513751946030099,9
12231202,0.5343429205486625,0.28319308857298847,0.424735819919621,0.49532100108813937,0.6000949823957776,0.6168869970460849,0.638366778989257,0.09654049832054962,0.6407401154093962,8
12929500,0.19460880999342534,0.8558718861209961,0.5666295057599408,0.018666666666666668,0.10876018783397204,0.23483407313464388,0.31036923351755547,0.1462248472296796,0.014530358069538143,7
14353349,0.5808678500986193,0.4431161032028468,0.5688405797101449,0.4925,0.5987882549792195,0.6312321655041218,0.672690766462067,0.37479625297230956,0.5404287752983913,1
14891004,0.1902257286872671,0.49733096085409234,0.4875510962467484,0.08444444444444443,0.14213490221478564,0.20372718945959273,0.16115567893641294,0.3756743627112576,0.05982240673470565,6
15169205,0.6416831032215649,0.4909054962435745,0.44593088071348946,0.6666666666666667,0.4457458484014323,0.4582540689072079,0.43400337335098005,0.07105417913119072,0.46906532895116176,9
15237910,0.5890861275476661,0.5808620007908262,0.4320574755357365,0.7244444444444444,0.5848221514546338,0.6180159233424928,0.4807851559877658,0.018255733681061592,0.5852505333563974,9
15272141,0.25246548323471396,0.5088967971530247,0.5583054626532887,0.32,0.31311059534733093,0.45751426759670266,0.4845001665845347,0.5927744112909411,0.5054488842760768,0
16147520,0.5452553144860837,0.533741926980361,0.48986333044304053,0.3007407407407407,0.42223661563004145,0.46788322882171984,0.45499955301986295,0.24384728365705585,0.3887255184608584,3
16446200,0.41986107537947,0.44955902831502387,0.5545053560176434,0.39652173913043476,0.5319498452317534,0.6443301811364452,0.6998267027648307,0.12690302850415705,0.5207463730511496,3
16534841,0.17357001972386585,0.9483985765124553,0.5083612040133779,0.096,0.10908403950990445,0.18135700697526952,0.08166513893421895,0.0,0.05656460819927349,2
16571807,0.3069750762058454,0.610360724684568,0.5154555589338198,0.10727272727272727,0.2660490586220602,0.32855464921888516,0.218435071134267,0.2904382282594294,0.18392932962211636,7
16769223,0.3319453575863832,0.4512817978120467,0.44593088071348946,0.17851851851851852,0.40235572107974565,0.45380645388571844,0.2611780977544238,0.09063235975102202,0.3919929270214689,5
