,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,cluster
9876019,0.27937915742793795,0.4444444444444444,0.45818935729094695,0.2144149577804584,0.32832002999946425,0.3129282655246252,0.33942319459883946,0.29355798223453666,0.2815541052386225,0.0,0.037267080745341616,0.09276018099547512,0.006993006993006993,0.09568649559081535,0.04123781378443561,0.06451612903225806,0.11409395973154363,0.0,0.06382978723404255,0.0,0.06990881458966565,0
11582420,0.32788248337028825,0.5208333333333334,0.7883552176917763,0.32976477683956584,0.4006401671398725,0.4675053533190578,0.43484218993809476,0.3068515198435335,0.42748091603053434,0.2857142857142857,0.024844720496894408,0.12217194570135746,0.0,0.21161047870246982,0.3911308128672849,0.20967741935483872,0.302386278896346,0.0,0.1276595744680851,0.10810810810810811,0.18541033434650456,4
11760391,0.5024944567627495,0.3125,0.5888044229440222,0.7572376357056696,0.5480928911983713,0.6275026766595289,0.45886363752256437,0.04247820063564501,0.6443826117359129,0.14285714285714285,0.0,0.3212669683257919,0.0,0.2589973637379104,0.6598220048235334,0.6129032258064516,0.5260999254287845,0.0,0.19148936170212766,0.08108108108108109,0.9756838905775076,1
11767812,0.6415373244641537,0.4629629629629631,0.6275051831375259,0.40289505428226796,0.42936733272620126,0.3614204139900072,0.2791218354699329,0.4045310080678021,0.21795544160208222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12692042,0.20177383592017742,0.9444444444444444,0.7339322736696615,0.0922798552472859,0.19854556168639845,0.24908993576017127,0.2344524134906632,0.9040827968380734,0.09310354874424569,0.42857142857142855,0.7018633540372671,0.04751131221719457,0.8601398601398601,0.10533001985007048,0.022818370189204795,0.016129032258064516,0.010439970171513796,0.2,0.48936170212765956,0.43243243243243246,0.0060790273556231,3
12929500,0.17590539541759057,0.7888888888888889,0.5268832066344163,0.009650180940892643,0.10794450099105371,0.16434689507494646,0.23399161677868088,0.1331594817048325,0.01166598683060428,0.14285714285714285,0.6086956521739131,0.16289592760180996,0.9440559440559441,0.22754195216630901,0.05092734128197289,0.04838709677419355,0.0018642803877703207,0.0,0.2978723404255319,0.43243243243243246,0.0,3
14353349,0.5734624810362937,0.3888888888888889,0.524642636307424,0.5051107866167229,0.6260273547746796,0.5868984559900823,0.5838297440643005,0.08155299829722622,0.570139146596168,0.2857142857142857,0.062111801242236024,0.3574660633484163,0.06293706293706294,0.2830242609938644,0.7703301742586365,0.6129032258064516,0.3959731543624161,0.2,0.23404255319148937,0.08108108108108109,0.39209726443769,1
15272141,0.23281596452328163,0.4555555555555555,0.5191430545957154,0.2822677925211098,0.31076230781593184,0.38993576017130616,0.37778935881615044,0.5398093064949882,0.4747159256453587,0.0,0.0,0.09049773755656108,0.0,0.09751514105432937,0.010241516355854479,0.016129032258064516,0.10514541387024609,0.0,0.02127659574468085,0.05405405405405406,0.057750759878419454,9
16446200,0.39747421189626914,0.3985507246376812,0.5156095069258738,0.35149735144490485,0.5279602926345258,0.5791918815752723,0.5556065286785896,0.1155640906626794,0.4891450026982313,0.14285714285714285,0.018633540372670808,0.37104072398190047,0.0,0.3306195026863833,0.5750365161860117,0.532258064516129,0.47576435495898584,0.4,0.2127659574468085,0.21621621621621623,0.3799392097264438,1
16769223,0.6329145109632914,0.7222222222222222,0.7823082239115413,0.26618415761962205,0.9111444438492168,0.9986438258386867,0.19051125411767106,0.14717626925270963,0.4102130800458404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
