,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,courier_kills,observer_kills,sentry_kills,ancient_kills
96738880,5.407407407407407,3.7037037037037037,8.518518518518519,12.11111111111111,460.74074074074076,507.77777777777777,15326.148148148148,109.81481481481481,196.40740740740742,3.0,1.0,167.0,1.0,14.990075039999999,46910.0,31.0,854.0,0.0,11.0,3.0,125.0
96767595,3.8333333333333335,6.0,9.833333333333334,2.5,279.1666666666667,283.0,10030.166666666666,548.1666666666666,67.33333333333333,0.0,1.0,14.0,4.0,0.6097561,4042.0,2.0,45.0,0.0,1.0,0.0,0.0
96768866,3.1666666666666665,7.666666666666667,5.833333333333333,8.0,352.1666666666667,393.3333333333333,6225.166666666667,0.0,83.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97013021,2.65,6.1,11.05,1.0,225.2,270.15,7045.45,503.1,22.7,2.0,63.0,7.0,84.0,4.6556096600000005,706.0,0.0,16.0,0.0,10.0,10.0,0.0
97048475,7.0,6.1,10.4,12.1,509.8,491.0,19304.8,2.6,230.8,1.0,1.0,33.0,5.0,5.951311700000001,57636.0,22.0,650.0,0.0,14.0,8.0,115.0
97353735,6.25,8.25,12.25,14.833333333333334,647.3333333333334,692.0833333333334,10542.166666666666,229.16666666666666,127.33333333333333,0.0,3.0,64.0,0.0,6.17916459,13167.0,5.0,229.0,1.0,0.0,0.0,9.0
97597779,3.7777777777777777,6.222222222222222,11.88888888888889,2.888888888888889,275.0,376.55555555555554,12552.777777777777,377.55555555555554,54.0,1.0,6.0,32.0,9.0,6.282332939999999,1999.0,1.0,78.0,1.0,7.0,4.0,3.0
97609115,5.0,3.2,9.6,13.8,366.6,346.8,9383.0,130.0,60.4,1.0,16.0,8.0,10.0,2.7573720300000004,8544.0,3.0,11.0,0.0,2.0,4.0,1.0
97676580,10.733333333333333,5.4,13.6,15.0,664.3333333333334,663.2666666666667,24040.6,582.2,298.8666666666667,1.0,0.0,80.0,0.0,7.81470505,49177.0,32.0,736.0,0.0,3.0,3.0,102.0
97725159,6.333333333333333,2.5,7.0,10.833333333333334,481.0,487.8333333333333,12344.833333333334,310.0,86.16666666666667,1.0,2.0,17.0,0.0,3.03076922,4132.0,2.0,63.0,0.0,0.0,0.0,0.0
98018029,9.0,3.7777777777777777,11.11111111111111,10.222222222222221,586.2222222222222,595.5555555555555,24728.666666666668,0.0,289.1111111111111,0.0,1.0,23.0,0.0,4.872803589999999,36887.0,16.0,833.0,0.0,3.0,3.0,166.0
98034412,9.0,4.0,11.8,21.2,623.8,653.4,27341.6,490.6,329.2,1.0,1.0,27.0,0.0,2.09112624,34037.0,15.0,534.0,0.0,2.0,0.0,137.0
98442719,5.846153846153846,4.538461538461538,11.0,1.2307692307692308,411.38461538461536,439.61538461538464,8763.923076923076,444.53846153846155,101.07692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98557863,7.0,8.666666666666666,11.5,10.666666666666666,405.1666666666667,518.0,19182.166666666668,637.5,136.66666666666666,2.0,12.0,52.0,7.0,3.5523232399999998,15500.0,6.0,267.0,2.0,0.0,3.0,44.0
98705277,7.666666666666667,6.083333333333333,9.333333333333334,14.416666666666666,509.5833333333333,567.6666666666666,22125.833333333332,327.75,240.0,2.0,1.0,37.0,1.0,6.39819886,38544.0,21.0,932.0,0.0,5.0,8.0,82.0
98730865,8.761904761904763,4.428571428571429,10.285714285714286,20.047619047619047,498.1904761904762,545.2857142857143,20458.52380952381,1416.2380952380952,240.66666666666666,1.0,10.0,138.0,3.0,11.847697,70081.0,37.0,1670.0,0.0,3.0,5.0,303.0
98782750,3.4375,5.9375,15.5625,6.0,342.5,404.5625,9407.625,1467.0,75.3125,1.0,32.0,126.0,44.0,9.17879716,23060.0,14.0,273.0,0.0,10.0,8.0,17.0
98885811,8.333333333333334,5.75,9.583333333333334,16.333333333333332,565.25,599.25,19494.083333333332,1063.75,254.58333333333334,0.0,0.0,93.0,0.0,7.02563132,48711.0,19.0,1092.0,1.0,4.0,6.0,223.0
98898414,3.4285714285714284,10.285714285714286,13.0,13.0,278.42857142857144,370.57142857142856,16229.285714285714,185.85714285714286,69.14285714285714,0.0,6.0,52.0,2.0,4.00919853,2026.0,1.0,98.0,0.0,1.0,0.0,15.0
99074108,1.875,5.125,6.875,0.25,188.5,234.25,6338.5,310.5,22.25,1.0,52.0,43.0,46.0,4.639427680000001,659.0,2.0,29.0,1.0,8.0,1.0,0.0
99084280,5.25,7.0,9.0,5.375,419.5,425.0,13466.5,232.75,167.375,0.0,1.0,39.0,0.0,3.4664714300000004,14666.0,13.0,254.0,0.0,1.0,1.0,20.0
99155835,8.166666666666666,6.0,8.666666666666666,18.666666666666668,536.0,541.6666666666666,28738.333333333332,33.5,316.0,1.0,0.0,53.0,0.0,3.3768743300000006,18966.0,9.0,473.0,0.0,2.0,1.0,57.0
99495148,3.5714285714285716,4.142857142857143,6.714285714285714,9.571428571428571,418.7142857142857,457.57142857142856,12034.714285714286,289.7142857142857,139.57142857142858,0.0,0.0,36.0,0.0,3.15162849,14675.0,6.0,238.0,0.0,0.0,1.0,25.0
99573176,4.857142857142857,9.428571428571429,13.214285714285714,3.7142857142857144,416.7142857142857,456.57142857142856,14442.07142857143,89.21428571428571,148.28571428571428,1.0,14.0,56.0,12.0,4.49028896,4447.0,5.0,466.0,0.0,5.0,1.0,46.0
99643683,11.466666666666667,7.466666666666667,12.533333333333333,10.2,777.0666666666667,815.0666666666667,15472.2,117.93333333333334,238.26666666666668,1.0,0.0,42.0,0.0,4.43830737,18066.0,12.0,345.0,0.0,5.0,3.0,34.0
99789114,3.9285714285714284,6.071428571428571,13.857142857142858,4.357142857142857,292.85714285714283,350.2142857142857,8380.92857142857,762.8571428571429,44.07142857142857,2.0,101.0,105.0,66.0,7.6519216399999985,13709.0,8.0,153.0,0.0,11.0,8.0,5.0
99798398,8.541666666666666,4.583333333333333,10.333333333333334,17.666666666666668,507.625,525.0,22282.541666666668,8.333333333333334,275.625,2.0,14.0,120.0,14.0,15.370849,70794.0,33.0,1489.0,3.0,11.0,11.0,137.0
99803639,12.375,6.875,19.625,12.625,622.375,663.0,15835.625,1189.125,210.875,1.0,27.0,10.0,22.0,1.7243868,210.0,1.0,37.0,0.0,5.0,0.0,0.0
99819580,3.769230769230769,6.846153846153846,13.76923076923077,8.923076923076923,412.0769230769231,430.9230769230769,14234.692307692309,368.53846153846155,133.53846153846155,1.0,69.0,59.0,75.0,8.8373287,24290.0,15.0,341.0,0.0,10.0,8.0,53.0
99881834,3.7,5.6,10.35,4.6,365.2,380.2,10145.8,681.8,103.95,0.0,73.0,102.0,66.0,8.86696944,16867.0,11.0,217.0,0.0,11.0,8.0,12.0
99947395,6.5588235294117645,6.882352941176471,10.558823529411764,8.529411764705882,431.4117647058824,482.0882352941176,20393.764705882353,803.7352941176471,218.52941176470588,5.0,4.0,157.0,2.0,18.40217059,75247.0,36.0,1807.0,1.0,9.0,21.0,146.0
100050990,8.857142857142858,4.0,10.0,10.642857142857142,594.0714285714286,646.9285714285714,28587.5,44.857142857142854,288.2857142857143,0.0,7.0,75.0,0.0,8.40132698,69334.0,23.0,1109.0,0.0,8.0,7.0,201.0
100065967,3.6,9.4,12.8,5.0,220.4,234.4,6966.0,132.4,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100240564,7.888888888888889,4.888888888888889,7.888888888888889,18.38888888888889,470.0,506.77777777777777,20032.333333333332,181.55555555555554,267.55555555555554,0.0,0.0,80.0,0.0,11.37595286,48284.0,26.0,1193.0,0.0,3.0,2.0,137.0
100281069,10.333333333333334,3.4444444444444446,10.666666666666666,7.222222222222222,531.0,515.0,16052.222222222223,408.8888888888889,214.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100310056,2.090909090909091,6.090909090909091,12.272727272727273,0.7272727272727273,277.0,293.6363636363636,5912.181818181818,791.4545454545455,27.09090909090909,0.0,18.0,7.0,8.0,0.94852,3704.0,0.0,14.0,0.0,0.0,0.0,0.0
100375847,6.090909090909091,5.2727272727272725,6.7272727272727275,14.818181818181818,467.0,483.72727272727275,14463.454545454546,32.45454545454545,202.27272727272728,2.0,0.0,29.0,0.0,5.87763383,31700.0,20.0,675.0,0.0,3.0,0.0,114.0
100384222,4.0,6.2,13.2,3.2,364.2,372.8,11606.4,1002.0,80.4,0.0,24.0,12.0,29.0,1.8252362,2325.0,3.0,51.0,0.0,7.0,3.0,1.0
100385049,8.076923076923077,4.3076923076923075,11.692307692307692,10.923076923076923,485.53846153846155,525.0769230769231,19359.69230769231,10.615384615384615,197.46153846153845,0.0,5.0,52.0,1.0,6.58145571,34646.0,21.0,590.0,2.0,2.0,3.0,77.0
100396320,13.0,10.333333333333334,17.166666666666668,21.666666666666668,744.8333333333334,772.0,10603.5,172.83333333333334,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100411157,3.888888888888889,6.333333333333333,13.777777777777779,1.1111111111111112,289.55555555555554,305.55555555555554,7807.333333333333,347.1111111111111,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100483784,7.0,6.666666666666667,7.5,9.666666666666666,503.8333333333333,506.1666666666667,20294.333333333332,183.83333333333334,209.5,1.0,7.0,29.0,0.0,3.0016468099999996,5616.0,4.0,403.0,0.0,1.0,0.0,59.0
100560596,6.388888888888889,5.555555555555555,11.38888888888889,6.944444444444445,394.22222222222223,480.8888888888889,16732.0,234.38888888888889,145.33333333333334,3.0,21.0,175.0,27.0,11.30782711,22089.0,10.0,475.0,1.0,11.0,1.0,84.0
100568479,5.4,6.6,8.8,2.8,361.0,331.4,9253.4,443.0,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100598959,2.577777777777778,6.911111111111111,13.822222222222223,2.2666666666666666,255.62222222222223,305.8888888888889,8549.533333333333,538.1777777777778,36.888888888888886,2.0,100.0,163.0,64.0,14.308087789999997,4477.0,0.0,219.0,1.0,17.0,7.0,0.0
100604141,6.25,6.666666666666667,15.0,12.25,435.5,567.5,21704.583333333332,510.4166666666667,196.66666666666666,2.0,84.0,74.0,89.0,7.12959882,18835.0,9.0,464.0,1.0,24.0,27.0,62.0
100616105,4.928571428571429,6.5,12.0,10.571428571428571,403.92857142857144,427.64285714285717,14887.42857142857,680.3571428571429,133.5,0.0,6.0,58.0,3.0,9.37229764,26447.0,14.0,217.0,0.0,3.0,1.0,35.0
100630244,7.222222222222222,6.444444444444445,8.777777777777779,7.666666666666667,460.8888888888889,501.6111111111111,17713.11111111111,162.88888888888889,280.44444444444446,2.0,0.0,59.0,0.0,9.337709669999999,38948.0,20.0,1023.0,1.0,5.0,8.0,152.0
100649918,7.230769230769231,3.5384615384615383,8.692307692307692,11.692307692307692,402.0769230769231,432.7692307692308,14401.076923076924,0.0,125.61538461538461,1.0,10.0,29.0,8.0,8.177482880000001,28773.0,13.0,363.0,0.0,2.0,2.0,44.0
100670083,11.8,5.4,11.8,18.2,591.6,596.2,18921.8,158.6,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100672876,5.571428571428571,9.0,18.857142857142858,3.0,344.0,421.0,13437.142857142857,1903.5714285714287,59.142857142857146,0.0,58.0,40.0,85.0,4.11052297,5167.0,2.0,45.0,2.0,10.0,15.0,2.0
100684873,7.083333333333333,4.916666666666667,10.75,14.583333333333334,421.5833333333333,460.3333333333333,18538.833333333332,745.25,165.16666666666666,1.0,3.0,48.0,0.0,7.06970139,17231.0,14.0,271.0,0.0,5.0,8.0,29.0
100686979,4.6,7.0,5.6,21.4,393.4,464.4,12938.4,0.0,165.8,0.0,1.0,14.0,0.0,2.73633711,4406.0,1.0,196.0,0.0,0.0,1.0,14.0
100688745,2.4615384615384617,9.384615384615385,14.538461538461538,1.5384615384615385,302.84615384615387,355.2307692307692,10193.23076923077,1068.3846153846155,76.92307692307692,1.0,93.0,90.0,110.0,7.409407330000001,14202.0,7.0,237.0,2.0,13.0,17.0,21.0
100702264,4.285714285714286,4.857142857142857,16.142857142857142,10.714285714285714,308.85714285714283,341.0,14491.0,0.0,38.57142857142857,0.0,38.0,66.0,23.0,4.66283931,4524.0,2.0,74.0,0.0,1.0,1.0,0.0
100735667,8.0,3.7142857142857144,6.428571428571429,9.285714285714286,462.0,433.57142857142856,13726.42857142857,433.85714285714283,154.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100773425,1.6666666666666667,9.11111111111111,16.77777777777778,2.4444444444444446,276.8888888888889,331.8888888888889,11035.555555555555,1016.7777777777778,72.88888888888889,0.0,79.0,21.0,86.0,5.9485996000000005,1614.0,2.0,61.0,0.0,13.0,11.0,3.0
100781036,6.75,3.25,8.625,23.375,571.625,597.5,20781.75,561.125,290.875,1.0,0.0,41.0,0.0,4.396400470000001,18336.0,10.0,684.0,1.0,0.0,1.0,122.0
100881809,7.166666666666667,3.3333333333333335,7.166666666666667,27.833333333333332,549.6666666666666,511.3333333333333,12914.333333333334,0.0,168.83333333333334,0.0,1.0,31.0,0.0,2.93133995,11549.0,6.0,317.0,0.0,0.0,0.0,40.0
100883708,3.625,6.0,9.875,8.0,374.5,382.375,4856.75,1689.375,62.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100975674,2.8,7.6,7.8,4.2,373.8,468.2,8584.0,9.8,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101072333,9.25,5.0,15.5,16.625,502.375,551.25,28773.125,1426.0,194.75,1.0,5.0,37.0,1.0,5.337232129999999,38061.0,21.0,218.0,0.0,2.0,1.0,12.0
101117815,8.833333333333334,5.416666666666667,11.833333333333334,11.166666666666666,604.25,615.25,25970.75,105.66666666666667,310.5833333333333,1.0,2.0,60.0,1.0,7.39817742,46305.0,18.0,947.0,0.0,6.0,0.0,81.0
101191101,4.647058823529412,9.647058823529411,16.176470588235293,2.764705882352941,444.11764705882354,505.8235294117647,3849.6470588235293,887.1764705882352,38.470588235294116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101229364,4.3125,3.75,4.1875,12.25,525.875,518.8125,11562.125,245.8125,212.5625,0.0,0.0,19.0,0.0,1.22077924,1660.0,2.0,158.0,0.0,1.0,1.0,26.0
101237419,5.214285714285714,5.5,11.642857142857142,5.214285714285714,413.42857142857144,420.85714285714283,12818.5,499.35714285714283,118.35714285714286,1.0,32.0,27.0,23.0,5.889794409999999,14676.0,6.0,251.0,0.0,3.0,5.0,29.0
101239422,8.0,4.285714285714286,7.0,13.285714285714286,535.2857142857143,545.8571428571429,19090.14285714286,29.714285714285715,222.57142857142858,0.0,7.0,57.0,4.0,4.17826368,18597.0,6.0,378.0,2.0,6.0,2.0,44.0
101262972,2.5,5.375,5.25,3.75,345.875,402.875,13001.25,167.25,127.625,0.0,1.0,32.0,0.0,3.73322514,1581.0,2.0,275.0,0.0,7.0,0.0,21.0
101312582,4.333333333333333,6.444444444444445,15.88888888888889,4.555555555555555,364.1111111111111,467.77777777777777,13012.666666666666,324.1111111111111,129.44444444444446,2.0,82.0,46.0,46.0,4.943585819999999,10513.0,3.0,325.0,1.0,17.0,18.0,46.0
101407005,4.5,5.625,8.125,10.875,447.75,494.0,11710.75,182.875,180.625,0.0,0.0,17.0,7.0,4.672259909999999,18646.0,4.0,615.0,1.0,8.0,5.0,145.0
101517137,8.0,5.4,17.4,6.6,499.0,518.0,9460.2,852.0,98.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101540701,9.153846153846153,5.076923076923077,9.615384615384615,17.307692307692307,588.6153846153846,574.1538461538462,27177.46153846154,270.84615384615387,259.15384615384613,3.0,19.0,91.0,8.0,8.73571479,42682.0,25.0,1066.0,0.0,4.0,8.0,188.0
101620578,6.0,5.6,13.0,17.2,578.8,693.6,21522.6,835.6,262.0,0.0,0.0,19.0,1.0,2.7252234600000005,28647.0,13.0,413.0,0.0,2.0,2.0,40.0
101634154,8.73076923076923,3.730769230769231,9.76923076923077,15.076923076923077,523.7692307692307,582.7692307692307,25044.5,892.0384615384615,242.0,3.0,20.0,138.0,2.0,14.02768729,59539.0,34.0,1364.0,1.0,15.0,3.0,232.0
101643577,3.0,8.88888888888889,9.444444444444445,3.111111111111111,257.22222222222223,274.77777777777777,4685.333333333333,1502.6666666666667,25.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101655638,2.8333333333333335,9.0,5.333333333333333,4.833333333333333,273.1666666666667,337.6666666666667,12479.833333333334,0.0,78.66666666666667,0.0,8.0,18.0,3.0,2.44994238,867.0,3.0,125.0,0.0,2.0,0.0,9.0
101767405,2.888888888888889,4.333333333333333,10.777777777777779,2.3333333333333335,270.44444444444446,326.77777777777777,8518.666666666666,400.55555555555554,34.888888888888886,1.0,53.0,35.0,32.0,5.43805915,471.0,1.0,25.0,0.0,6.0,11.0,0.0
101843392,8.818181818181818,4.454545454545454,10.136363636363637,13.227272727272727,511.3181818181818,589.3181818181819,24740.5,720.9545454545455,228.6818181818182,2.0,6.0,135.0,3.0,13.405698870000002,65505.0,35.0,1354.0,0.0,12.0,13.0,208.0
101857896,5.909090909090909,6.7272727272727275,9.727272727272727,5.090909090909091,464.1818181818182,477.90909090909093,22917.090909090908,190.0,184.8181818181818,1.0,4.0,58.0,1.0,5.15194788,18291.0,9.0,360.0,1.0,10.0,3.0,28.0
101866704,5.0,6.866666666666666,11.666666666666666,9.866666666666667,450.0,543.8666666666667,15978.266666666666,1582.4,141.26666666666668,1.0,31.0,74.0,27.0,9.84242366,6115.0,6.0,525.0,1.0,10.0,7.0,68.0
101906670,5.888888888888889,6.444444444444445,16.666666666666668,9.333333333333334,464.3333333333333,525.7777777777778,21533.444444444445,225.88888888888889,224.33333333333334,0.0,1.0,45.0,0.0,4.61791648,12516.0,8.0,298.0,0.0,8.0,4.0,11.0
101952809,7.9,4.1,12.2,14.9,567.3,579.3,24932.5,80.0,332.8,1.0,0.0,37.0,0.0,6.0150828700000005,41857.0,22.0,1200.0,0.0,2.0,0.0,185.0
101968048,4.666666666666667,6.2,9.2,12.466666666666667,428.6666666666667,444.8666666666667,9161.266666666666,354.53333333333336,142.66666666666666,1.0,0.0,48.0,0.0,5.11430307,17740.0,6.0,423.0,0.0,3.0,3.0,65.0
102009588,2.0,7.0,9.5,1.8333333333333333,216.33333333333334,269.3333333333333,8371.333333333334,1405.8333333333333,25.0,0.0,30.0,31.0,24.0,4.078624319999999,1184.0,0.0,10.0,0.0,4.0,3.0,1.0
102119379,3.0444444444444443,4.722222222222222,9.11111111111111,6.4,323.3222222222222,325.1333333333333,7281.022222222222,613.8666666666667,79.4888888888889,2.0,86.0,209.0,64.0,13.46099904,5913.0,3.0,279.0,4.0,9.0,10.0,34.0
102185479,4.964285714285714,6.214285714285714,11.857142857142858,8.071428571428571,422.42857142857144,505.64285714285717,18667.678571428572,158.21428571428572,197.85714285714286,3.0,44.0,269.0,21.0,16.335148599999997,26166.0,16.0,1937.0,1.0,19.0,5.0,212.0
102226328,2.8333333333333335,6.5,9.166666666666666,2.6666666666666665,254.33333333333334,348.5,9091.333333333334,269.3333333333333,62.0,0.0,36.0,47.0,30.0,4.16372554,38.0,0.0,26.0,0.0,3.0,3.0,0.0
102317290,7.0625,5.25,10.6875,5.3125,420.125,480.125,17637.6875,741.125,155.625,1.0,44.0,164.0,34.0,7.887552049999999,28910.0,19.0,760.0,4.0,22.0,5.0,113.0
102424452,6.0,5.8,11.6,15.4,367.0,454.4,15979.7,0.0,160.2,0.0,8.0,108.0,12.0,5.536045479999999,10162.0,12.0,362.0,0.0,3.0,3.0,50.0
102425017,3.2857142857142856,5.642857142857143,7.285714285714286,8.214285714285714,386.7857142857143,419.7142857142857,9746.92857142857,498.57142857142856,148.92857142857142,2.0,0.0,34.0,0.0,8.19244309,10495.0,4.0,638.0,0.0,2.0,0.0,60.0
102481068,5.181818181818182,7.0,14.363636363636363,2.0,353.72727272727275,408.0,15069.90909090909,218.0909090909091,58.72727272727273,0.0,34.0,51.0,9.0,7.2452152,5758.0,2.0,21.0,1.0,4.0,4.0,0.0
102487567,7.4,4.2,11.4,15.8,416.4,494.0,19310.6,0.0,154.8,1.0,1.0,41.0,3.0,2.8752399200000003,3947.0,4.0,225.0,0.0,2.0,1.0,50.0
102500941,6.0,2.3333333333333335,6.833333333333333,14.666666666666666,545.6666666666666,506.1666666666667,12833.0,92.0,208.66666666666666,1.0,0.0,24.0,0.0,2.6329284800000003,6567.0,2.0,186.0,0.0,1.0,1.0,25.0
102525542,3.41025641025641,5.0256410256410255,12.897435897435898,2.2051282051282053,294.8205128205128,345.46153846153845,8926.97435897436,1707.6153846153845,48.53846153846154,4.0,143.0,257.0,136.0,20.80443456,17457.0,6.0,376.0,2.0,12.0,3.0,21.0
102528150,4.333333333333333,5.6,10.4,17.466666666666665,406.93333333333334,477.06666666666666,12600.2,202.93333333333334,148.0,0.0,15.0,83.0,10.0,8.413498619999999,23267.0,12.0,402.0,0.0,6.0,6.0,30.0
102572463,6.6,5.4,9.2,5.4,292.4,292.2,8847.6,579.4,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102727762,5.473684210526316,5.947368421052632,12.105263157894736,5.7368421052631575,359.4736842105263,359.7894736842105,7960.789473684211,1594.3157894736842,63.26315789473684,0.0,6.0,25.0,2.0,2.0233333,3758.0,1.0,26.0,0.0,5.0,1.0,0.0
102856993,6.533333333333333,3.1333333333333333,9.933333333333334,8.133333333333333,492.6,496.73333333333335,14916.0,702.4666666666667,201.66666666666666,0.0,0.0,8.0,0.0,0.4047619,231.0,0.0,14.0,0.0,2.0,1.0,0.0
102958828,3.533333333333333,9.333333333333334,10.866666666666667,0.4666666666666667,238.86666666666667,300.93333333333334,9408.266666666666,43.333333333333336,43.333333333333336,1.0,46.0,154.0,73.0,10.71952761,1667.0,2.0,208.0,2.0,10.0,6.0,5.0
103032016,3.888888888888889,9.777777777777779,11.666666666666666,8.0,388.3333333333333,438.77777777777777,11947.666666666666,17.77777777777778,137.33333333333334,1.0,39.0,50.0,46.0,5.31899885,6072.0,6.0,329.0,3.0,4.0,0.0,10.0
103057673,11.5,3.9285714285714284,10.0,15.357142857142858,648.6428571428571,641.9285714285714,29083.35714285714,110.35714285714286,304.07142857142856,2.0,7.0,117.0,2.0,8.6254028,52152.0,24.0,1247.0,2.0,22.0,21.0,200.0
103059732,2.5555555555555554,2.6666666666666665,13.11111111111111,3.2222222222222223,311.77777777777777,355.8888888888889,7816.777777777777,1405.5555555555557,59.333333333333336,0.0,13.0,14.0,4.0,0.375,554.0,0.0,29.0,0.0,2.0,1.0,1.0
103072159,7.285714285714286,5.857142857142857,16.714285714285715,3.857142857142857,474.85714285714283,490.57142857142856,8375.42857142857,502.42857142857144,56.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103201965,10.8,6.2,10.6,10.0,618.4,596.2,10021.4,247.2,166.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103265320,3.1538461538461537,5.923076923076923,10.76923076923077,4.6923076923076925,328.6923076923077,434.3076923076923,10796.307692307691,870.0,95.3076923076923,1.0,20.0,61.0,11.0,7.00754348,8499.0,6.0,203.0,0.0,5.0,0.0,26.0
103363007,4.894736842105263,7.368421052631579,8.68421052631579,10.736842105263158,351.57894736842104,387.94736842105266,15761.263157894737,729.0526315789474,137.52631578947367,1.0,14.0,103.0,1.0,9.80852463,13358.0,4.0,758.0,0.0,8.0,9.0,51.0
103569102,8.0,6.142857142857143,20.0,4.571428571428571,523.1428571428571,479.42857142857144,16909.714285714286,1075.7142857142858,137.14285714285714,3.0,21.0,165.0,12.0,4.4350882899999995,10814.0,4.0,249.0,3.0,3.0,0.0,8.0
103598460,3.4545454545454546,8.181818181818182,12.272727272727273,6.2727272727272725,272.72727272727275,362.1818181818182,11374.454545454546,491.3636363636364,47.81818181818182,2.0,19.0,57.0,10.0,6.09326238,3227.0,1.0,47.0,0.0,7.0,11.0,2.0
103729052,3.6770833333333335,6.1875,12.75,2.4895833333333335,283.4791666666667,351.1458333333333,9345.697916666666,553.25,45.75,5.0,159.0,315.0,82.0,25.829167290000004,8854.0,5.0,178.0,2.0,28.0,16.0,18.0
103767715,6.545454545454546,6.090909090909091,9.090909090909092,10.636363636363637,470.90909090909093,489.90909090909093,20281.545454545456,17.09090909090909,238.72727272727272,1.0,3.0,62.0,1.0,6.71858257,29941.0,12.0,495.0,0.0,5.0,4.0,75.0
103832074,1.7142857142857142,4.714285714285714,11.714285714285714,2.5714285714285716,294.14285714285717,339.85714285714283,7597.285714285715,146.57142857142858,70.14285714285714,0.0,61.0,47.0,63.0,3.6154040999999997,8751.0,6.0,75.0,1.0,11.0,0.0,1.0
103834233,4.166666666666667,4.833333333333333,5.666666666666667,7.5,475.6666666666667,451.1666666666667,14216.833333333334,423.3333333333333,217.5,0.0,0.0,30.0,0.0,3.2406974699999997,6824.0,6.0,222.0,0.0,2.0,2.0,3.0
103850210,6.842105263157895,7.894736842105263,13.210526315789474,4.421052631578948,455.36842105263156,520.421052631579,21180.947368421053,401.2105263157895,182.26315789473685,2.0,46.0,86.0,39.0,11.253001419999999,52996.0,17.0,620.0,2.0,25.0,10.0,79.0
103867263,2.888888888888889,6.555555555555555,13.444444444444445,1.6666666666666667,239.55555555555554,304.77777777777777,9439.333333333334,616.1111111111111,58.0,0.0,98.0,49.0,90.0,4.8192892899999995,5842.0,3.0,96.0,0.0,13.0,6.0,9.0
103910993,5.416666666666667,7.5,7.25,10.833333333333334,443.3333333333333,518.8333333333334,23019.75,650.75,223.25,1.0,8.0,61.0,3.0,6.56562775,8468.0,9.0,628.0,0.0,5.0,11.0,30.0
104105272,5.5,5.666666666666667,7.333333333333333,8.166666666666666,421.0,480.8333333333333,11570.0,0.0,158.83333333333334,0.0,2.0,13.0,0.0,1.7353562999999999,5059.0,3.0,228.0,1.0,2.0,1.0,41.0
104121929,8.5,5.5,9.5,15.0,586.8333333333334,633.3333333333334,17807.666666666668,192.83333333333334,222.5,0.0,0.0,31.0,0.0,3.11541474,17571.0,13.0,199.0,0.0,2.0,1.0,48.0
104130823,1.1,4.7,3.2,4.2,295.3,290.9,4761.2,229.3,92.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104231808,2.8333333333333335,6.833333333333333,14.666666666666666,0.6666666666666666,370.0,426.8333333333333,6256.0,338.0,94.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104314302,3.7857142857142856,7.714285714285714,13.785714285714286,4.142857142857143,297.42857142857144,402.07142857142856,10842.285714285714,1691.5,53.857142857142854,1.0,25.0,84.0,14.0,8.43734156,8343.0,2.0,97.0,1.0,5.0,6.0,1.0
104461642,2.0,5.75,7.25,1.875,222.125,261.5,7815.75,193.625,33.75,0.0,58.0,30.0,56.0,4.72203648,664.0,0.0,17.0,0.0,5.0,1.0,1.0
