,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,courier_kills,observer_kills,sentry_kills,ancient_kills
329008184,3.5,8.166666666666666,12.166666666666666,4.166666666666667,333.1666666666667,402.3333333333333,13850.0,2024.5,90.83333333333333,2.0,92.0,20.0,120.0,3.46098806,856.0,0.0,79.0,0.0,23.0,16.0,6.0
329120197,3.2,7.8,12.6,2.2,355.6,426.0,17395.0,0.0,138.0,0.0,0.0,39.0,0.0,2.7530053399999996,1820.0,0.0,240.0,1.0,0.0,1.0,20.0
329351317,11.125,3.375,19.25,17.375,523.75,579.0,27375.875,1878.625,161.375,2.0,1.0,35.0,0.0,5.2010114000000005,30240.0,13.0,272.0,0.0,4.0,1.0,18.0
329457360,6.0,6.125,6.875,9.75,424.875,515.25,16431.625,628.875,135.0,1.0,0.0,41.0,1.0,3.86764711,8563.0,10.0,314.0,0.0,3.0,4.0,48.0
330731075,8.5,6.5,13.0625,5.4375,424.9375,523.4375,17442.0,795.75,124.1875,5.0,56.0,136.0,51.0,9.721834690000001,22138.0,10.0,459.0,0.0,21.0,9.0,52.0
330793883,1.6666666666666667,5.833333333333333,11.666666666666666,0.8333333333333334,235.16666666666666,257.1666666666667,4745.833333333333,452.1666666666667,35.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331663252,2.6,9.8,17.6,2.0,298.2,340.6,10426.0,555.2,27.0,0.0,51.0,36.0,57.0,2.42445403,5720.0,1.0,33.0,0.0,4.0,8.0,0.0
332063855,6.615384615384615,6.923076923076923,10.461538461538462,20.76923076923077,535.8461538461538,549.5384615384615,20157.153846153848,579.4615384615385,288.9230769230769,1.0,0.0,29.0,0.0,7.164325139999999,50721.0,23.0,961.0,3.0,6.0,4.0,186.0
332148330,3.090909090909091,5.636363636363637,14.727272727272727,4.090909090909091,272.6363636363636,369.8181818181818,10645.90909090909,1381.7272727272727,34.90909090909091,1.0,123.0,42.0,134.0,7.72014665,4799.0,4.0,46.0,0.0,30.0,19.0,1.0
332237719,5.833333333333333,4.625,7.5,10.833333333333334,474.6666666666667,499.3333333333333,16539.916666666668,799.5,203.375,1.0,1.0,80.0,1.0,12.46394912,64030.0,33.0,1483.0,2.0,2.0,4.0,190.0
332410979,4.36,10.44,13.24,9.88,248.96,325.76,12661.56,736.68,31.96,4.0,70.0,236.0,72.0,16.004477000000005,5480.0,5.0,139.0,0.0,20.0,7.0,13.0
332893979,7.0,7.0,15.0,5.0,370.8,408.0,16757.8,297.2,94.6,0.0,22.0,15.0,12.0,3.3981290900000003,11036.0,5.0,129.0,0.0,2.0,0.0,16.0
333121987,7.142857142857143,5.857142857142857,9.714285714285714,12.285714285714286,456.85714285714283,526.0,17893.571428571428,143.71428571428572,213.85714285714286,1.0,2.0,34.0,1.0,4.86006113,4792.0,5.0,412.0,1.0,5.0,2.0,57.0
333527365,11.0,5.166666666666667,10.0,10.333333333333334,518.5,585.5,19138.0,0.0,151.0,1.0,9.0,15.0,2.0,3.2118329699999997,17495.0,10.0,275.0,0.0,0.0,0.0,52.0
333662257,4.0,3.5,3.6666666666666665,16.0,540.6666666666666,508.3333333333333,15562.5,737.6666666666666,232.16666666666666,1.0,0.0,31.0,0.0,2.02227952,30400.0,10.0,517.0,0.0,0.0,1.0,106.0
333909845,6.538461538461538,5.6923076923076925,11.307692307692308,12.615384615384615,429.38461538461536,484.46153846153845,19310.46153846154,960.3846153846154,157.3846153846154,1.0,2.0,44.0,2.0,7.187537369999999,39089.0,18.0,509.0,0.0,6.0,8.0,54.0
334050219,5.0,4.666666666666667,5.444444444444445,8.88888888888889,526.0,531.8888888888889,13413.111111111111,19.444444444444443,251.55555555555554,1.0,2.0,26.0,3.0,5.10903221,22656.0,10.0,920.0,0.0,2.0,1.0,151.0
334144050,4.705882352941177,6.882352941176471,14.529411764705882,3.764705882352941,308.3529411764706,404.0,10388.35294117647,892.7058823529412,45.11764705882353,0.0,97.0,80.0,82.0,9.85910614,7616.0,6.0,116.0,0.0,19.0,10.0,1.0
334308289,6.0,9.2,17.2,3.2,320.2,474.4,14692.6,80.0,49.0,0.0,32.0,15.0,22.0,2.82709973,1089.0,0.0,42.0,0.0,3.0,1.0,9.0
334528345,2.6666666666666665,7.666666666666667,9.666666666666666,1.5,231.33333333333334,271.0,12224.166666666666,0.0,47.5,1.0,12.0,31.0,27.0,2.47954541,435.0,0.0,37.0,0.0,2.0,3.0,0.0
334664659,6.0,5.8,5.0,14.2,488.4,478.4,12693.8,0.0,225.8,0.0,0.0,36.0,0.0,2.74298184,13167.0,7.0,392.0,0.0,2.0,3.0,55.0
336111887,1.5,6.166666666666667,9.666666666666666,4.5,218.5,289.8333333333333,9684.166666666666,133.33333333333334,32.5,1.0,14.0,11.0,4.0,4.4842237,294.0,1.0,31.0,0.0,2.0,1.0,3.0
336461236,7.333333333333333,5.444444444444445,8.333333333333334,8.88888888888889,413.3333333333333,481.8888888888889,15148.777777777777,0.0,119.77777777777777,0.0,42.0,25.0,38.0,4.40882586,18993.0,12.0,272.0,1.0,6.0,7.0,57.0
336762534,4.666666666666667,8.833333333333334,18.0,2.0,285.5,414.5,11314.833333333334,396.8333333333333,23.5,1.0,22.0,19.0,14.0,4.017658399999999,1467.0,1.0,9.0,0.0,5.0,1.0,0.0
337517656,4.8,5.8,11.2,1.3,350.5,392.8,13600.0,147.5,61.6,1.0,19.0,47.0,4.0,5.830542630000001,26395.0,7.0,117.0,3.0,3.0,1.0,3.0
337626057,6.0,8.0,9.166666666666666,10.0,409.1666666666667,455.3333333333333,29316.166666666668,0.0,272.0,1.0,3.0,16.0,0.0,2.6270338699999995,6951.0,3.0,329.0,0.0,2.0,1.0,33.0
337762097,3.090909090909091,5.2727272727272725,10.636363636363637,4.545454545454546,313.09090909090907,338.6363636363636,9693.727272727272,1726.2727272727273,56.81818181818182,1.0,60.0,66.0,56.0,6.26900283,6828.0,4.0,111.0,0.0,12.0,7.0,0.0
338469405,7.7368421052631575,7.947368421052632,11.473684210526315,9.157894736842104,442.7368421052632,563.6842105263158,20628.42105263158,1275.9473684210527,176.57894736842104,1.0,17.0,68.0,4.0,10.119800380000001,37202.0,20.0,1124.0,0.0,1.0,0.0,125.0
339365512,11.3,2.8,8.6,21.4,582.4,604.2,19743.1,892.4,159.5,3.0,1.0,15.0,0.0,5.47504383,46401.0,14.0,441.0,0.0,0.0,0.0,104.0
339414010,4.222222222222222,4.444444444444445,5.888888888888889,19.11111111111111,433.3888888888889,440.22222222222223,12935.888888888889,25.61111111111111,167.11111111111111,1.0,0.0,70.0,0.0,10.323138519999999,51333.0,23.0,661.0,0.0,3.0,3.0,121.0
339572940,3.1666666666666665,4.833333333333333,7.5,3.8333333333333335,288.3333333333333,403.8333333333333,7231.833333333333,0.0,51.166666666666664,1.0,12.0,18.0,9.0,2.90084418,461.0,2.0,42.0,1.0,2.0,1.0,0.0
339642155,10.0,3.6,5.0,24.6,497.8,522.6,18116.4,0.0,168.0,1.0,0.0,13.0,0.0,2.2794886199999995,20680.0,9.0,302.0,0.0,3.0,1.0,60.0
