,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min,Metric_1,Metric_2,Metric_3,Metric_4,Metric_5,Metric_6,Metric_7,Metric_8,Metric_9,Metric_10,KDA
117516310,12.2,4.4,8.4,17.2,503.4,569.6,28664.4,0.0,212.4,1.0,2.0,15.0,0.0,2.9904724500000004,20841.0,12.0,231.0,12.0,844.0,1.0,0.0,0.0,0.0,0.0,18.0,1.0,84010.0,39.0,1.0,0.0,1.0,1.0,0.0,3.083852805147798,32.0,583.0,48.27163019022295,129.45160337265062,51.68064362173587,48.97248989912679,130.15246308155446,50.998840935433286,19222.19949546601,129.67887093475147,132.17881411786095,48.49889775232381,4.681711779277744
117558174,10.4,7.0,13.9,12.9,492.5,541.7,20847.1,783.4,234.0,1.0,17.0,65.0,9.0,6.029489539999998,36356.0,15.0,618.0,15.0,1705.0,3.0,3.0,0.0,15.0,7.0,116.0,4.0,174355.0,580.0,3.0,373.6420104,5.0,15.0,5.0,5.8381258797506534,97.0,3383.0,146.05505635633776,190.01157126326765,155.34063799088585,146.88906242478689,190.8455773317168,148.19788288738735,25097.512892672963,191.44012228396736,192.15439779431722,147.9121726832474,3.4713789803002815
117587043,6.08,5.04,8.36,13.12,484.56,546.36,17233.36,92.84,202.4,3.0,0.0,128.0,2.0,14.703077760000005,51810.0,24.0,1507.0,24.0,3579.0,5.0,6.0,2.0,9.0,4.0,227.0,32.0,350280.0,396.0,5.0,352.45955249999986,3.0,0.0,2.0,18.294992961994765,209.0,7298.0,59.37183786035992,127.21969802186466,84.37134183845559,62.60490723636332,130.8495849213299,63.736830618440116,69625.84075712784,126.82288049840282,131.98150830340668,59.76865538382175,2.8650225193944565
117659724,5.5,3.8333333333333335,10.0,10.5,489.5,509.16666666666674,15164.0,0.0,199.0,1.0,0.0,19.0,1.0,4.3055268,17785.0,11.0,479.0,11.0,676.0,4.0,3.0,0.0,1.0,1.0,38.0,3.0,79030.0,167.0,4.0,30.7523496,3.0,0.0,1.0,4.035190026141162,40.0,2256.0,52.17255202038207,133.08348477865795,57.128944462318366,53.22518282813695,134.13611558641284,55.04204238150309,20749.067415632635,132.82262201855605,135.95297513977897,52.694277540585894,4.0433727815796106
117672038,5.4,6.9,9.0,12.5,454.9,508.7,16108.3,0.0,200.5,0.0,0.0,55.0,0.0,4.34209914,24652.0,7.0,573.0,7.0,1166.0,2.0,0.0,0.0,1.0,0.0,91.0,1.0,121215.0,201.0,2.0,180.31282530000001,2.0,0.0,0.0,5.489442992157652,80.0,1381.0,29.057549890581296,73.72356922363444,37.02844886305996,29.853109808866197,74.51912914191934,30.072027941624032,17640.860277387284,73.72356922363444,74.73804727467719,29.057549890581296,2.0869262764307766
117729241,9.153846153846152,5.153846153846153,9.153846153846152,15.307692307692307,478.92307692307685,549.9230769230769,23962.769230769234,173.46153846153842,219.15384615384616,1.0,5.0,57.0,0.0,6.948878809999999,37628.0,21.0,543.0,21.0,2367.0,3.0,4.0,0.0,2.0,1.0,37.0,1.0,191010.0,146.0,3.0,271.53491030000004,8.0,5.0,0.0,9.76935451437764,74.0,2677.0,76.1776264042638,140.35548563983087,87.23711330974176,78.07313602403103,142.25099525959808,80.25217421154515,37201.27818415464,141.32561607013596,144.43003344711224,77.92386117881296,3.5521698832709214
117791363,3.466666666666667,7.166666666666668,12.266666666666667,4.866666666666666,310.6,377.4333333333333,13242.366666666667,265.8,91.4,4.0,95.0,275.0,65.0,18.81755781,9441.0,6.0,479.0,5.0,2275.0,2.0,0.0,1.0,9.0,9.0,24.0,16.0,297260.0,2161.0,2.0,1156.9684045,11.0,69.0,52.0,12.54454051880153,291.0,4495.0,57.236410654735046,97.00794872629683,95.46843532415826,58.84725429674955,98.75832530506105,57.934075338483645,41574.56872694799,99.38000865104206,97.84514634679515,59.468937642730566,2.1953182048622577
117898515,4.6,5.0,16.5,6.5,382.4,441.3,12182.1,109.0,99.1,1.0,25.0,57.0,40.0,5.810477909999999,14299.0,8.0,101.0,8.0,892.0,0.0,0.0,0.0,11.0,9.0,14.0,2.0,115240.0,1380.0,0.0,381.457522,5.0,10.0,21.0,5.255379046853007,89.0,2354.0,45.81908361832763,114.25771484570308,57.21885562288755,46.870138406602464,115.30876963397792,47.41905161896762,23161.796764064722,112.0577588448231,115.85768284634307,43.61912761744765,4.219915601687966
117906884,5.285714285714286,5.285714285714286,11.714285714285715,5.428571428571429,345.42857142857144,405.07142857142856,14268.857142857143,431.78571428571433,107.64285714285714,1.0,41.0,50.0,31.0,8.432473,15953.0,8.0,321.0,8.0,1173.0,1.0,0.0,0.0,7.0,4.0,74.0,20.0,151240.0,1138.0,1.0,376.3070022,5.0,34.0,16.0,7.003820631409613,124.0,4595.0,105.07909309823869,161.34829881596838,114.53837359833734,106.40411517673634,162.67332089446597,106.59257797825448,28773.779955514354,164.75363979600388,162.86178369598414,108.4844340782742,3.21615537003354
118127154,7.875,3.25,8.0,17.625,593.375,577.0,16675.75,96.75,255.625,1.0,1.0,30.0,0.0,4.82889127,20951.0,14.0,671.0,14.0,1354.0,3.0,1.0,1.0,3.0,2.0,143.0,5.0,126860.0,278.0,3.0,56.95415039999999,2.0,1.0,0.0,6.346672028956363,59.0,2428.0,108.72742377157626,207.30131380572905,117.65022614688777,110.37250300881708,209.25407588349785,112.72730069844005,39239.94646318575,207.60899664625703,211.6088735731208,109.03510661210423,4.884465093381742
