,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min,Metric_1,Metric_2,Metric_3,Metric_4,Metric_5,Metric_6,Metric_7,Metric_8,Metric_9,Metric_10,KDA
142580682,0.8992248062015503,0.651685393258427,0.4521739130434783,0.38385870780236975,0.46472384421706747,0.592612419700214,0.7597139910861982,0.40536561426468176,0.3886203049460766,0.14285714285714285,0.0189873417721519,0.046255506607929514,0.0,0.08290595596732485,0.1212887029288703,0.12903225806451613,0.10101010101010101,0.12903225806451613,0.08626709339540296,0.1,0.2,0.0,0.02127659574468085,0.024390243902439025,0.11834319526627218,0.02857142857142857,0.10165176807947214,0.04172141918528252,0.1,0.09459306152878741,0.14285714285714285,0.027522935779816515,0.0,0.07824083350030053,0.07127882599580712,0.06849700809574094,1.218170777411009,1.531145135020242,1.2891381649688793,1.3382115673850778,1.6511859249943108,1.4161381749610735,1.6871040888889248,1.5733721257820679,1.7291125325703067,1.567247234375435,2.073379878136071
142750189,0.15878107457898957,0.37039907012785744,0.5337331334332835,0.07090049877810926,0.16253096465641934,0.14888134091412547,0.17088040185056488,0.7009031064379473,0.11709262512663342,0.14285714285714285,0.6139240506329114,0.30176211453744495,0.5734265734265734,0.5293941667576084,0.09892887029288704,0.11290322580645161,0.17658062102506547,0.11290322580645161,0.16933372126854815,0.2,0.0,0.0,0.2978723404255319,0.12195121951219512,0.026627218934911243,0.24285714285714285,0.3402071659522172,0.2739816031537451,0.2,0.6140403696868211,0.6071428571428571,0.6972477064220184,0.75,0.2724793517219885,0.3710691823899371,0.25350228792678636,4.232117859360546,4.317917577498898,5.046592547335629,4.967556551900198,5.053356270038551,4.536850677630479,5.236157846859935,4.175535860967797,4.622650395768831,4.089736142829444,1.869138855796021
142754251,0.44961240310077516,0.4044943820224719,0.3710144927536232,0.7487145092778895,0.757861466759522,0.7108137044967879,0.27604980505517024,0.23782103713397676,0.555076236519152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.959733770127065,2.3446562379061304,1.959733770127065,1.959733770127065,2.3446562379061304,1.959733770127065,2.3446562379061304,2.3446562379061304,2.3446562379061304,1.959733770127065,2.028270614515896
142805736,0.2713178294573643,0.4831460674157304,0.24347826086956523,0.25083836351441985,0.3557615042588525,0.3685760171306209,0.25055297117479725,0.13127760510387695,0.25875790256600967,0.0,0.0379746835443038,0.09030837004405286,0.02097902097902098,0.14039902274291802,0.09220083682008368,0.1774193548387097,0.11298166853722409,0.1774193548387097,0.13820192027931336,0.2,0.0,0.0,0.0851063829787234,0.024390243902439025,0.12721893491124261,0.05714285714285714,0.14944185161884976,0.11235216819973719,0.2,0.06885778436385127,0.14285714285714285,0.045871559633027525,0.027777777777777776,0.1462966673345355,0.1509433962264151,0.2010559662090813,0.8645973834448714,1.0918483058411752,1.05147602795614,1.167334802741195,1.394585725137499,1.2317381980354598,1.4010941780694262,1.1292904767666634,1.4589891204317635,0.9020395543703594,1.0652876971765546
142920020,0.0755813953488372,0.648876404494382,0.036231884057971016,0.07696177062374245,0.11196228638774305,0.1236215203426124,0.09060436463996437,0.0,0.05169207883971737,0.14285714285714285,0.056962025316455694,0.05066079295154185,0.04895104895104895,0.18015594271139632,0.0016736401673640166,0.016129032258064516,0.01122334455667789,0.016129032258064516,0.03040442246144894,0.0,0.0,0.0,0.0425531914893617,0.04878048780487805,0.0,0.0,0.04872642682623517,0.10906701708278581,0.0,0.09862972681637289,0.10714285714285714,0.08256880733944955,0.05555555555555555,0.07572519423851821,0.07547169811320754,0.12368884195705737,0.16525660047506602,0.27609181883548595,0.24331921199791745,0.28194064894600507,0.39277586730642505,0.19010963387715196,0.35117378867104254,0.3177162162662986,0.30094485223757184,0.2068809979058787,0.17229174840943876
143146883,0.2713178294573643,0.2584269662921348,0.5217391304347826,0.2774424323720099,0.39176086141318905,0.3845556745182013,0.32134588420300897,0.2867986258792736,0.2712532539977687,0.0,0.04430379746835443,0.2444933920704846,0.006993006993006993,0.2962556470293434,0.17882008368200836,0.24193548387096775,0.17059483726150393,0.24193548387096775,0.2583648530695374,0.1,0.2,0.0,0.1276595744680851,0.0975609756097561,0.038461538461538464,0.04285714285714286,0.26703340112068585,0.2007227332457293,0.1,0.2845334452461842,0.32142857142857145,0.07339449541284404,0.013888888888888888,0.26093635210044736,0.27882599580712786,0.39704329461457233,2.2123060389748264,2.650567556314573,3.15802321338443,3.2216257081871666,3.6598872255269135,3.1481290493975815,3.6834710284380145,2.8807393150962626,3.5863905667373284,3.2160914863726604,3.067598600124347
143154403,0.75234598123215,0.5771732702542873,0.5491990846681921,0.6603009872098085,0.5950692609812417,0.6525752282204439,0.8942642321448112,0.005682454131402446,0.5841537648509523,0.2857142857142857,0.08227848101265822,0.24669603524229075,0.006993006993006993,0.34010234724795535,0.5217322175732217,0.3870967741935484,0.6999625888514778,0.3870967741935484,0.48196101251091067,0.3,0.3,0.6,0.2553191489361702,0.3170731707317073,0.9556213017751479,0.08571428571428572,0.5082442100335035,0.18889618922470433,0.3,0.16659186121394393,0.39285714285714285,0.11926605504587157,0.013888888888888888,0.3838965693804402,0.31236897274633124,0.3400915170714537,2.085191138922829,1.1643472959429706,1.4731690984738062,1.7108390915391578,1.8293643496709822,1.7163827482057805,2.044769508822537,1.3468902467201034,1.8349080063376046,1.7480495391441204,2.254642875335307
143213147,0.30490956072351416,0.6317103620474406,0.8438003220611917,0.1608912735673299,0.37722540668916615,0.4527837259100641,0.38290192360889297,0.36065216205899986,0.23242841204908887,0.0,0.2721518987341772,0.06167400881057269,0.6013986013986014,0.16943642888001664,0.10764853556485356,0.14516129032258066,0.08679386457164234,0.14516129032258066,0.10503345941227815,0.0,0.0,0.2,0.2765957446808511,0.4878048780487805,0.1301775147928994,0.07142857142857142,0.1418998990504894,0.21649145860709593,0.0,0.22106768680968697,0.2857142857142857,0.1651376146788991,0.3055555555555556,0.14591264275696256,0.16771488469601678,0.13375571981696585,1.7388700718731667,1.7710875141370317,1.5199341387220087,1.6532631231872312,2.002031245867102,1.652073917565552,1.9956800621140063,1.5488405405014316,2.0008420402454226,1.200072417821561,1.8181244749804422
143294966,0.18806875631951467,0.5383488031265268,0.6704473850031506,0.12839354970402123,0.22477471287391607,0.3044967880085653,0.21202468273067981,0.22284653518161576,0.11969861108865427,0.2857142857142857,0.5189873417721519,0.43171806167400884,0.3006993006993007,0.28406383842405575,0.046493723849372386,0.016129032258064516,0.12345679012345678,0.016129032258064516,0.08874018038987488,0.0,0.0,0.8,0.425531914893617,0.1951219512195122,0.04437869822485207,0.7142857142857143,0.2155491507073781,0.3268725361366623,0.0,0.38163106048822576,0.07142857142857142,0.3853211009174312,0.4166666666666667,0.1664551748703221,0.31236897274633124,0.19127067933826117,2.8957475694686376,1.7532028753252156,2.211779221526278,1.7191364943748273,2.0623412259052385,1.4399527693124219,2.1535179089101777,1.6949883049385308,1.7831575008428333,1.3517835734081194,1.5944248298773316
143848331,0.3208109719737626,0.4857389801210024,0.6510590858416946,0.1657638136511376,0.29869658920925857,0.3613243287761489,0.3775490575232814,0.515559526356189,0.1450639356924221,0.5714285714285714,0.13924050632911392,0.13656387665198239,0.13986013986013987,0.24169492362310827,0.11360669456066945,0.08064516129032258,0.055368499812944255,0.08064516129032258,0.1109979633401222,0.1,0.1,0.0,0.2127659574468085,0.14634146341463414,0.014792899408284023,0.17142857142857143,0.2070635396702316,0.1645860709592641,0.1,0.2779288779418726,0.39285714285714285,0.2018348623853211,0.2222222222222222,0.14676417551592863,0.2557651991614256,0.13748680042238648,1.817156960215405,2.262284671108148,2.0982457205655316,2.1192409459000774,2.56436865679282,1.983148501837358,2.6884825435362942,2.220321467925432,2.4282762127301014,1.9810232686439109,2.000395393497254
