k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;cosine;3;6;0;0.750000;10;600.135073
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
kills,deaths,gold_per_min,xp_per_min,hero_healing;-1,271996;0;5;3
deaths,assists,xp_per_min,hero_damage,hero_healing,last_hits;-1,272587;0;6;3
deaths,assists,denies,gold_per_min,xp_per_min,hero_healing;-1,273516;0;6;3
deaths,assists,gold_per_min,xp_per_min,hero_healing,last_hits;-1,278055;0;6;3
assists,denies,gold_per_min,hero_healing,last_hits;-1,279468;0;5;3
deaths,xp_per_min,hero_damage,hero_healing,last_hits;-1,284225;0;5;3
kills,gold_per_min,last_hits;-1,291045;0;3;2
kills,deaths,xp_per_min,hero_damage,hero_healing;-1,292343;0;5;3
kills,deaths,denies,hero_damage,hero_healing,last_hits;-1,295218;0;6;3
deaths,assists,denies,gold_per_min,xp_per_min;-1,297448;0;5;3
kills,deaths,assists,xp_per_min,hero_damage,hero_healing;-1,301324;0;6;3
kills,deaths,assists,gold_per_min,xp_per_min,hero_healing;-1,305275;0;6;3
deaths,assists,denies,gold_per_min,last_hits;-1,307239;0;5;3
deaths,assists,xp_per_min,hero_damage,last_hits;-1,318066;0;5;3
deaths,assists,denies,xp_per_min,last_hits;-1,318101;0;5;3
assists,denies,gold_per_min,xp_per_min,hero_healing;-1,318250;0;5;3
kills,deaths,assists,denies,gold_per_min,hero_damage;-1,318371;0;6;3
deaths,assists,gold_per_min,xp_per_min,last_hits;-1,329025;0;5;3
kills,deaths,assists,gold_per_min,xp_per_min;-1,329943;0;5;3
kills,deaths,assists,xp_per_min,hero_damage;-1,335676;0;5;3
deaths,denies,xp_per_min,last_hits;-1,336652;0;4;3
kills,deaths,denies,gold_per_min,hero_damage;-1,338779;0;5;3
assists,xp_per_min,hero_damage,hero_healing,last_hits;-1,341645;0;5;3
kills,assists,denies,gold_per_min,hero_damage,hero_healing;-1,342478;0;6;3
kills,assists,denies,hero_damage,hero_healing,last_hits;-1,345245;0;6;3
kills,hero_damage,last_hits;-1,349733;0;3;2
deaths,denies,gold_per_min,last_hits;-1,351147;0;4;3
kills,deaths,xp_per_min,hero_damage;-1,353269;0;4;3
assists,gold_per_min,xp_per_min,hero_healing,last_hits;-1,354382;0;5;3
deaths,denies,gold_per_min,xp_per_min;-1,354719;0;4;3
kills,denies,gold_per_min;-1,355844;0;3;2
kills,deaths,assists,denies,hero_damage,last_hits;-1,361867;0;6;3
gold_per_min,xp_per_min,hero_damage;-1,366808;0;3;2
deaths,xp_per_min,hero_damage,last_hits;-1,367888;0;4;3
kills,assists,xp_per_min,hero_damage,hero_healing;-1,369323;0;5;3
kills,deaths,denies,hero_damage,last_hits;-1,369553;0;5;3
kills,assists,gold_per_min,xp_per_min,hero_healing;-1,370735;0;5;3
denies,hero_damage,last_hits;-1,374793;0;3;2
kills,gold_per_min,hero_damage;-1,376534;0;3;2
deaths,gold_per_min,xp_per_min,last_hits;-1,392447;0;4;3
denies,xp_per_min,hero_healing,last_hits;-1,402857;0;4;3
assists,denies,xp_per_min,last_hits;-1,412355;0;4;3
kills,deaths,gold_per_min,xp_per_min;-1,412850;0;4;3
assists,denies,gold_per_min,last_hits;-1,414616;0;4;3
assists,xp_per_min,hero_damage,last_hits;-1,418574;0;4;3
kills,assists,denies,gold_per_min,hero_damage;-1,425596;0;5;3
kills,assists,denies,hero_damage,last_hits;-1,431427;0;5;3
denies,gold_per_min,xp_per_min,hero_healing;-1,442722;0;4;3
assists,denies,gold_per_min,xp_per_min;-1,447779;0;4;3
xp_per_min,hero_damage,hero_healing,last_hits;-1,456162;0;4;3
kills,assists,xp_per_min,hero_damage;-1,457165;0;4;3
kills,denies,gold_per_min,hero_damage,hero_healing;-1,457776;0;5;3
kills,denies,hero_damage,hero_healing,last_hits;-1,458345;0;5;3
denies,gold_per_min,hero_healing,last_hits;-1,461584;0;4;3
gold_per_min,xp_per_min,hero_healing,last_hits;-1,465924;0;4;3
kills,deaths,denies,gold_per_min,hero_healing,last_hits;-1,468438;0;6;4
deaths,denies,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,471688;0;6;4
deaths,denies,gold_per_min,hero_damage,hero_healing,last_hits;-1,473173;0;6;4
kills,assists,gold_per_min,xp_per_min;-1,477274;0;4;3
assists,gold_per_min,xp_per_min,last_hits;-1,478944;0;4;3
kills,xp_per_min,hero_damage,hero_healing;-1,481265;0;4;3
denies,xp_per_min,last_hits;-1,485759;0;3;3
kills,deaths,denies,xp_per_min,hero_healing,last_hits;-1,488983;0;6;4
kills,deaths,denies,xp_per_min,hero_damage,hero_healing;-1,500107;0;6;4
kills,gold_per_min,xp_per_min,hero_healing;-1,508083;0;4;3
xp_per_min,hero_damage,last_hits;-1,515563;0;3;3
kills,deaths,gold_per_min,hero_damage,hero_healing,last_hits;-1,516365;0;6;4
deaths,assists,denies,gold_per_min,hero_damage,last_hits;-1,533869;0;6;4
deaths,assists,denies,gold_per_min,xp_per_min,hero_damage;-1,535748;0;6;4
deaths,denies,gold_per_min,xp_per_min,hero_damage;-1,546353;0;5;4
kills,deaths,assists,denies,gold_per_min,last_hits;-1,546853;0;6;4
assists,denies,gold_per_min,hero_damage,hero_healing,last_hits;-1,549773;0;6;4
kills,deaths,assists,gold_per_min,hero_damage,last_hits;-1,552287;0;6;4
assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,552380;0;6;4
denies,gold_per_min,last_hits;-1,558776;0;3;3
kills,deaths,assists,denies,xp_per_min,last_hits;-1,559173;0;6;4
kills,deaths,gold_per_min,hero_damage,last_hits;-1,564818;0;5;4
kills,assists,denies,gold_per_min,hero_healing,last_hits;-1,570378;0;6;4
kills,deaths,assists,denies,xp_per_min,hero_damage;-1,570533;0;6;4
kills,assists,denies,xp_per_min,hero_damage,hero_healing;-1,571235;0;6;4
kills,assists,denies,xp_per_min,hero_healing,last_hits;-1,575452;0;6;4
kills,assists,gold_per_min,hero_damage,hero_healing,last_hits;-1,576054;0;6;4
gold_per_min,xp_per_min,last_hits;-1,576579;0;3;3
kills,deaths,denies,gold_per_min,last_hits;-1,578509;0;5;4
deaths,denies,gold_per_min,hero_damage,last_hits;-1,580321;0;5;4
kills,deaths,denies,xp_per_min,last_hits;-1,587779;0;5;4
kills,deaths,denies,xp_per_min,hero_damage;-1,589258;0;5;4
denies,gold_per_min,xp_per_min;-1,591429;0;3;3
kills,denies,hero_damage,last_hits;-1,608128;0;4;3
kills,xp_per_min,hero_damage;-1,627256;0;3;3
kills,denies,xp_per_min,hero_healing,last_hits;-1,632456;0;5;4
assists,denies,gold_per_min,xp_per_min,hero_damage;-1,642501;0;5;4
kills,denies,gold_per_min,hero_damage;-1,644553;0;4;3
kills,gold_per_min,xp_per_min;-1,651058;0;3;3
kills,assists,denies,xp_per_min,hero_damage;-1,651114;0;5;4
assists,denies,gold_per_min,hero_damage,last_hits;-1,654272;0;5;4
kills,deaths,denies,gold_per_min,xp_per_min,hero_healing;-1,654785;0;6;5
kills,deaths,gold_per_min,xp_per_min,hero_healing,last_hits;-1,657116;0;6;5
kills,denies,xp_per_min,hero_damage,hero_healing;-1,657233;0;5;4
kills,assists,denies,xp_per_min,last_hits;-1,658422;0;5;4
kills,denies,gold_per_min,hero_healing,last_hits;-1,660236;0;5;4
kills,assists,denies,gold_per_min,last_hits;-1,664085;0;5;4
deaths,denies,xp_per_min,hero_damage,hero_healing,last_hits;-1,669443;0;6;5
denies,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,669813;0;5;4
kills,assists,gold_per_min,hero_damage,last_hits;-1,674593;0;5;4
deaths,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits;-1,679433;0;6;5
denies,gold_per_min,hero_damage,hero_healing,last_hits;-1,693739;0;5;4
kills,deaths,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,700725;0;6;5
kills,gold_per_min,hero_damage,hero_healing,last_hits;-1,703830;0;5;4
kills,deaths,assists,gold_per_min,xp_per_min,last_hits;-1,705650;0;6;5
deaths,assists,denies,xp_per_min,hero_damage,last_hits;-1,714411;0;6;5
kills,deaths,xp_per_min,hero_damage,hero_healing,last_hits;-1,720164;0;6;5
deaths,assists,gold_per_min,xp_per_min,hero_damage,last_hits;-1,723671;0;6;5
kills,deaths,assists,denies,gold_per_min,xp_per_min;-1,726193;0;6;5
kills,denies,xp_per_min,last_hits;-1,729364;0;4;4
kills,deaths,assists,gold_per_min,xp_per_min,hero_damage;-1,730537;0;6;5
assists,denies,xp_per_min,hero_damage,hero_healing,last_hits;-1,734753;0;6;5
assists,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits;-1,740670;0;6;5
kills,deaths,assists,xp_per_min,hero_damage,last_hits;-1,743110;0;6;5
kills,deaths,gold_per_min,xp_per_min,hero_damage;-1,748648;0;5;5
kills,deaths,denies,gold_per_min,xp_per_min;-1,750816;0;5;5
kills,deaths,xp_per_min,hero_damage,last_hits;-1,752069;0;5;5
deaths,gold_per_min,xp_per_min,hero_damage,last_hits;-1,754835;0;5;5
kills,deaths,gold_per_min,xp_per_min,last_hits;-1,755713;0;5;5
kills,assists,xp_per_min,hero_damage,hero_healing,last_hits;-1,761192;0;6;5
denies,gold_per_min,hero_damage,last_hits;-1,763286;0;4;4
kills,assists,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,764298;0;6;5
kills,assists,denies,gold_per_min,xp_per_min,hero_healing;-1,769047;0;6;5
denies,gold_per_min,xp_per_min,hero_damage;-1,770066;0;4;4
deaths,denies,xp_per_min,hero_damage,last_hits;-1,773279;0;5;5
kills,assists,gold_per_min,xp_per_min,hero_healing,last_hits;-1,775871;0;6;5
kills,denies,xp_per_min,hero_damage;-1,776956;0;4;4
deaths,denies,gold_per_min,xp_per_min,hero_healing,last_hits;-1,782303;0;6;6
kills,denies,gold_per_min,last_hits;-1,816419;0;4;4
kills,gold_per_min,hero_damage,last_hits;-1,817392;0;4;4
assists,denies,xp_per_min,hero_damage,last_hits;-1,828077;0;5;5
assists,gold_per_min,xp_per_min,hero_damage,last_hits;-1,834449;0;5;5
denies,xp_per_min,hero_damage,hero_healing,last_hits;-1,843175;0;5;5
kills,assists,xp_per_min,hero_damage,last_hits;-1,850461;0;5;5
kills,denies,gold_per_min,xp_per_min,hero_healing;-1,856147;0;5;5
kills,gold_per_min,xp_per_min,hero_healing,last_hits;-1,858652;0;5;5
kills,assists,denies,gold_per_min,xp_per_min;-1,859392;0;5;5
kills,xp_per_min,hero_damage,hero_healing,last_hits;-1,864956;0;5;5
kills,assists,gold_per_min,xp_per_min,hero_damage;-1,865962;0;5;5
gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits;-1,874023;0;5;5
kills,assists,gold_per_min,xp_per_min,last_hits;-1,874776;0;5;5
deaths,assists,denies,gold_per_min,xp_per_min,last_hits;-1,883887;0;6;6
denies,xp_per_min,hero_damage,last_hits;-1,888845;0;4;5
kills,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,897783;0;5;5
deaths,denies,gold_per_min,xp_per_min,last_hits;-1,906561;0;5;6
assists,denies,gold_per_min,xp_per_min,hero_healing,last_hits;-1,909098;0;6;6
kills,deaths,denies,gold_per_min,hero_damage,last_hits;-1,916906;0;6;6
kills,xp_per_min,hero_damage,last_hits;-1,932596;0;4;5
kills,gold_per_min,xp_per_min,last_hits;-1,949739;0;4;5
gold_per_min,xp_per_min,hero_damage,last_hits;-1,954919;0;4;5
kills,denies,gold_per_min,xp_per_min;-1,980653;0;4;5
denies,gold_per_min,xp_per_min,hero_healing,last_hits;-1,989364;0;5;6
assists,denies,gold_per_min,xp_per_min,last_hits;-1,995387;0;5;6
kills,assists,denies,gold_per_min,hero_damage,last_hits;-1,996931;0;6;6
kills,denies,gold_per_min,hero_damage,hero_healing,last_hits;-2,016195;0;6;6
kills,deaths,denies,gold_per_min,xp_per_min,hero_damage;-2,032336;0;6;7
kills,gold_per_min,xp_per_min,hero_damage;-2,045242;0;4;5
denies,gold_per_min,xp_per_min,last_hits;-2,055757;0;4;6
kills,deaths,denies,xp_per_min,hero_damage,last_hits;-2,067012;0;6;7
kills,denies,gold_per_min,hero_damage,last_hits;-2,123749;0;5;6
kills,assists,denies,xp_per_min,hero_damage,last_hits;-2,123985;0;6;7
kills,assists,denies,gold_per_min,xp_per_min,hero_damage;-2,126326;0;6;7
kills,denies,xp_per_min,hero_damage,hero_healing,last_hits;-2,127490;0;6;7
kills,denies,gold_per_min,xp_per_min,hero_damage,hero_healing;-2,141292;0;6;7
deaths,denies,gold_per_min,xp_per_min,hero_damage,last_hits;-2,149331;0;6;8
